ImageNumber,ObjectNumber,FileName_MouseCyto,PathName_MouseCyto,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,996.3433315479379,90.57739689341189,0,1
1,2,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,704.042588042588,93.13022113022113,0,2
1,3,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,953.1846645367413,80.72332268370607,0,3
1,4,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,954.2588235294118,151.40882352941176,0,4
1,5,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,469.93560606060606,217.30227272727274,0,5
1,6,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,766.4176594253679,183.66222845129641,0,6
1,7,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,819.6844339622642,244.73584905660377,0,7
1,8,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,280.72095671981776,231.5888382687927,0,8
1,9,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,176.74267241379312,301.0323275862069,0,9
1,10,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,233.09370494954348,299.81883709754925,0,10
1,11,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,121.16066000868433,350.54494138080764,0,11
1,12,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,1014.9642004773269,396.0310262529833,0,12
1,13,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,144.37985436893203,396.3252427184466,0,13
1,14,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,685.1360856269113,407.8065749235474,0,14
1,15,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,960.1545064377682,439.59281115879827,0,15
1,16,436D-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,534.033542204202,487.0280132694434,0,16
