Human_436_tpm,gene_id,gene_name,gene_type,436D,436E,436F,meanTPM,stdTPM
60571,ENSG00000210082.2,MT-RNR2,Mt_rRNA,16.89233449195278,16.616214322734077,16.601218893736714,16.703255902807857,0.1639184259852436
60569,ENSG00000211459.2,MT-RNR1,Mt_rRNA,16.186009563658743,16.065362777338375,15.883165772850347,16.044846037949156,0.1524607912027661
60595,ENSG00000198886.2,MT-ND4,protein_coding,15.041788971249948,15.201280586388334,15.229412359315132,15.157493972317804,0.101185891388503
60574,ENSG00000210100.1,MT-TI,Mt_tRNA,14.945997032770558,14.89741446167518,14.826617874629829,14.890009789691854,0.0600330552694339
60590,ENSG00000198938.2,MT-CO3,protein_coding,14.518329391174378,14.594963310306255,14.758555998225514,14.623949566568715,0.1227084266581151
60594,ENSG00000212907.2,MT-ND4L,protein_coding,14.250514651222456,14.644959188828338,14.521526095232764,14.472333311761185,0.2017710850717738
60602,ENSG00000198727.2,MT-CYB,protein_coding,14.431890181633875,14.458681886650108,14.493760813889688,14.46144429405789,0.0310276804635545
60599,ENSG00000198786.2,MT-ND5,protein_coding,14.336397596793416,14.368459160662026,14.399579034297522,14.368145263917654,0.0315918883520115
60583,ENSG00000198804.2,MT-CO1,protein_coding,14.263158505566963,14.377612898093297,14.427921730032509,14.356231044564256,0.0844370640141151
60592,ENSG00000198840.2,MT-ND3,protein_coding,14.086248506154512,14.364880919684284,14.55755522863377,14.33622821815752,0.2369561977288662
60589,ENSG00000198899.2,MT-ATP6,protein_coding,14.081621021787743,14.328528096564114,14.427431855330957,14.27919365789427,0.1781058625596426
60586,ENSG00000198712.1,MT-CO2,protein_coding,14.116697423441892,14.319292946759674,14.25660452186144,14.230864964021002,0.1037214063993901
60588,ENSG00000228253.1,MT-ATP8,protein_coding,14.02003874977632,14.192187528975442,14.055678461610238,14.089301580120669,0.090866309040875
60577,ENSG00000198763.3,MT-ND2,protein_coding,13.98117026579156,14.078446277206403,14.199007502749511,14.086208015249158,0.1091258396735251
60573,ENSG00000198888.2,MT-ND1,protein_coding,13.732335957524432,13.906967206764884,13.877786930855669,13.839030031714996,0.093544594852244
60600,ENSG00000198695.2,MT-ND6,protein_coding,13.262374585462036,13.21678432089945,13.293594601642432,13.257584502667973,0.0386285319011018
60596,ENSG00000210176.1,MT-TH,Mt_tRNA,12.505626843154516,12.9906538587941,12.872564300462276,12.78961500080363,0.2529293205827582
60568,ENSG00000210049.1,MT-TF,Mt_tRNA,12.97890795886054,12.32804616486512,12.918798410907629,12.741917511544427,0.3596809810657
52435,ENSG00000283907.1,LLNLF-96A1.1,lncRNA,12.69128919782609,12.320840836088362,11.9870808816271,12.333070305180518,0.3522634072489815
60196,ENSG00000225840.2,AC010970.2,processed_pseudogene,12.81298072171104,11.85645037322178,11.773415697156295,12.147615597363036,0.5777168431691235
60576,ENSG00000210112.1,MT-TM,Mt_tRNA,11.719513299332371,11.690046816066465,12.21566497021204,11.87507502853696,0.2953272755549191
60597,ENSG00000210184.1,MT-TS2,Mt_tRNA,11.50936269761124,10.480402614852052,11.905984229955791,11.29858318080636,0.7357932718222007
55137,ENSG00000256222.3,MTRNR2L3,protein_coding,11.674961168282485,11.078671178680512,11.09238539678394,11.282005914582312,0.3403783093889381
51159,ENSG00000167658.16,EEF2,protein_coding,11.0818029241939,11.469579070898568,11.288905235986896,11.280095743693122,0.1940381157250693
49562,ENSG00000184009.13,ACTG1,protein_coding,11.032272197856928,11.036515478052392,10.77209020391926,10.946959293276194,0.1514559347338246
8317,ENSG00000283657.1,RP11-646I19.1,unprocessed_pseudogene,11.70144711894554,10.450177723056624,10.653865263209612,10.935163368403924,0.6713905296185573
18968,ENSG00000168298.7,H1-4,protein_coding,10.994390723655307,11.064417561346731,10.646978779253434,10.901929021418493,0.2235523629583937
21702,ENSG00000075624.17,ACTB,protein_coding,10.645037697773711,10.867675820413984,10.865428272558862,10.792713930248851,0.1278963060310148
60598,ENSG00000210191.1,MT-TL2,Mt_tRNA,10.657694502384404,10.21350392431058,10.831940939733672,10.567713122142884,0.318886456444895
25382,ENSG00000183779.7,ZNF703,protein_coding,10.521692609617611,10.740899419919907,10.426268280071913,10.562953436536477,0.161322752329092
19822,ENSG00000096384.20,HSP90AB1,protein_coding,10.021727645762423,10.637761561789592,10.590482845509197,10.416657351020405,0.3428351255700711
39,ENSG00000248527.1,MTATP6P1,unprocessed_pseudogene,10.096795057339182,10.224749108110512,10.92767823152257,10.41640746565742,0.4473716651716442
17493,ENSG00000247627.2,MTND4P12,processed_pseudogene,10.18782777187332,10.540553611228802,10.387550928724243,10.371977437275456,0.176877866518642
34833,ENSG00000109971.14,HSPA8,protein_coding,10.05628543722356,10.354882451544706,10.3532380059906,10.254801964919622,0.1719223222175384
58711,ENSG00000198034.11,RPS4X,protein_coding,9.717842309515545,10.029952923343297,10.407788301660544,10.051861178173128,0.3454943512439886
13184,ENSG00000249780.1,RP11-352E6.2,processed_pseudogene,10.205734409482709,9.82870101276764,10.032315385737627,10.022250269329325,0.1887181111760601
46827,ENSG00000108518.8,PFN1,protein_coding,10.071825720792429,10.20143372719872,9.7319571057066,10.00173885123258,0.2424586593533792
19270,ENSG00000196230.14,TUBB,protein_coding,9.882998664490106,9.957282402685625,10.013493119266183,9.951258062147303,0.0654554825130618
44313,ENSG00000167978.17,SRRM2,protein_coding,9.893479137221608,9.727021487577195,10.002518442977848,9.874339689258884,0.1387421419756637
1072,ENSG00000175130.7,MARCKSL1,protein_coding,9.673423152231742,9.64398430619097,10.27038339172617,9.862596950049626,0.3534600372396655
19029,ENSG00000274997.2,H2AC12,protein_coding,9.557376460102397,9.265297058443249,10.605204099799156,9.809292539448268,0.7045807286205978
6876,ENSG00000034510.6,TMSB10,protein_coding,10.418411525184382,9.515385188079064,9.456256785453895,9.796684499572448,0.5392424434161769
31799,ENSG00000177600.9,RPLP2,protein_coding,9.591013141761191,9.745771887440377,10.03335555744377,9.790046862215112,0.2244702836044273
19072,ENSG00000274641.2,H2BC17,protein_coding,7.945135407367885,10.864764401032785,10.50692685239947,9.772275553600046,1.5924329697927442
18957,ENSG00000286522.2,H3C2,protein_coding,9.618560145686876,10.365949622265562,9.307922982349286,9.764144250100577,0.5438300665525817
36575,ENSG00000110955.9,ATP5F1B,protein_coding,9.381158826667964,10.10981646298662,9.761455804255586,9.750810364636724,0.3644454441749574
41549,ENSG00000166165.13,CKB,protein_coding,9.397480739811016,9.952284135580728,9.851358602228752,9.733707825873498,0.2955215404537314
305,ENSG00000074800.16,ENO1,protein_coding,9.504202267487166,9.742912442906976,9.852897696347368,9.700004135580503,0.178263758670172
19028,ENSG00000197903.8,H2BC12,protein_coding,9.442301306760598,9.997125624255697,9.616413328607136,9.685280086541145,0.2837507331836015
60582,ENSG00000210144.1,MT-TY,Mt_tRNA,11.347670342514805,8.736066234283685,8.939443802647064,9.674393459815184,1.45266384737181
18962,ENSG00000187837.4,H1-2,protein_coding,10.200937495338122,9.965229049926515,8.640712915861556,9.60229315370873,0.8410511477747725
46668,ENSG00000174231.17,PRPF8,protein_coding,9.519291673594935,9.710542308163287,9.524950234352728,9.584928072036986,0.1088219052657079
53974,ENSG00000125835.19,SNRPB,protein_coding,8.660371248068902,9.918324168028532,9.948087708605696,9.508927708234376,0.735022119839494
4957,ENSG00000143761.16,ARF1,protein_coding,9.376727729747552,9.590878209024112,9.512406610025252,9.49333751626564,0.1083412649741767
59944,ENSG00000172534.14,HCFC1,protein_coding,9.371695903458562,9.524205142425572,9.559583499658885,9.485161515181003,0.0998435817806693
14045,ENSG00000249072.1,RP11-777B9.5,processed_pseudogene,9.341168781992918,9.895944953251451,9.100883174060108,9.44599896976816,0.4077656611148985
59341,ENSG00000005022.6,SLC25A5,protein_coding,9.729112248324798,9.34651691175463,9.188027996554064,9.421219052211164,0.2781696410828552
33301,ENSG00000089597.18,GANAB,protein_coding,9.419204946855473,9.353302395586594,9.33065223780761,9.367719860083223,0.0460031850181318
48601,ENSG00000170689.10,HOXB9,protein_coding,9.172982969926949,9.764154539320195,9.106441161036292,9.347859556761144,0.3620539841798322
51652,ENSG00000179218.15,CALR,protein_coding,9.164178819110164,9.28134840685141,9.574942092428522,9.340156439463366,0.2116019971587448
27060,ENSG00000161016.18,RPL8,protein_coding,9.819461161816196,9.28819731135295,8.907755786478532,9.33847141988256,0.4579271638003506
25465,ENSG00000253509.1,CTD-3080F16.3,lncRNA,9.399295424730225,8.785991568136886,9.79552218080231,9.32693639122314,0.5086402331459006
53103,ENSG00000105438.9,KDELR1,protein_coding,9.720796154573158,9.040276209915184,9.173468205698716,9.311513523395686,0.3606511209921106
18493,ENSG00000204628.12,RACK1,protein_coding,9.299284859833152,9.369236671621662,9.251318078912693,9.306613203455834,0.0592998911618322
46513,ENSG00000103257.9,SLC7A5,protein_coding,8.801281453071693,9.561026458345754,9.506390677260685,9.289566196226042,0.4237484630552381
49614,ENSG00000169710.9,FASN,protein_coding,9.222608970791706,9.419460808579087,9.22330781364794,9.28845919767291,0.113451261078687
34,ENSG00000225630.1,MTND2P28,unprocessed_pseudogene,9.58787313625468,8.659629491334272,9.539892298105515,9.262464975231488,0.5226217615939541
19353,ENSG00000204469.13,PRRC2A,protein_coding,9.146131834563336,9.261232455397977,9.343999795784637,9.25045469524865,0.09937329925511
53196,ENSG00000142534.7,RPS11,protein_coding,9.255345585576087,9.1265554088861,9.330038713012192,9.237313235824791,0.1029331724600131
29367,ENSG00000188229.6,TUBB4B,protein_coding,9.064941771759004,9.54166722960688,9.035811526828835,9.214140176064909,0.2840204585832468
41506,ENSG00000080824.19,HSP90AA1,protein_coding,9.048431799143149,9.406282577088234,9.077527482435013,9.1774139528888,0.1987392136790375
46656,ENSG00000108953.17,YWHAE,protein_coding,8.915113270971217,9.120868214901364,9.363284294392296,9.133088593421624,0.2243352843334238
17490,ENSG00000244921.2,MTCYBP18,processed_pseudogene,9.72272389595665,8.557869943752678,8.898390104871789,9.05966131486037,0.5989386319730006
375,ENSG00000116649.10,SRM,protein_coding,8.623430182813252,9.619607896015884,8.904045372587753,9.049027817138963,0.5136705568664025
51267,ENSG00000088247.18,KHSRP,protein_coding,8.476888805759526,9.352457823821911,9.307671821984425,9.04567281718862,0.4930901390548959
10511,ENSG00000233276.8,GPX1,protein_coding,8.929314837475145,9.221224530168412,8.951614364094663,9.03405124391274,0.1624798342492827
529,ENSG00000065526.12,SPEN,protein_coding,9.141301831898272,8.721333092597197,9.225801537692572,9.029478820729349,0.2701858478795668
12542,ENSG00000114867.22,EIF4G1,protein_coding,8.96197468310639,9.041967512965536,9.077995851900798,9.027312682657575,0.0593826653209624
54692,ENSG00000118705.17,RPN2,protein_coding,8.80335486139093,9.10886504774328,9.16962256076262,9.027280823298945,0.1962905911127565
27324,ENSG00000137154.13,RPS6,protein_coding,8.80548898807633,9.359945354546378,8.872774631789467,9.01273632480406,0.302568045592103
57296,ENSG00000128272.17,ATF4,protein_coding,8.850503086886226,9.381941841299582,8.802564597787098,9.011669841990969,0.321559543146017
19653,ENSG00000124767.7,GLO1,protein_coding,8.608126367637368,9.35850829335976,9.066867420288908,9.01116736042868,0.3782791708699227
53891,ENSG00000130726.12,TRIM28,protein_coding,8.493312166849295,9.488310133907474,8.999048988170184,8.993557096308985,0.4975217173849184
34744,ENSG00000188486.3,H2AX,protein_coding,8.738467664270866,9.030300529379808,9.18493339177363,8.984567195141434,0.2267191320865138
58209,ENSG00000130985.17,UBA1,protein_coding,8.772388442657364,9.127481969487786,9.003961735603008,8.967944049249384,0.1802659382604425
39889,ENSG00000129562.11,DAD1,protein_coding,8.82294733253259,8.531153478696192,9.498602338935063,8.950901050054616,0.4962544102223712
32242,ENSG00000110321.19,EIF4G2,protein_coding,8.781499402953514,9.041996486923116,8.988323324006567,8.937273071294399,0.137547369715486
3500,ENSG00000143321.19,HDGF,protein_coding,8.28995727773727,9.086340684202876,9.368763008303809,8.915020323414652,0.5594358324162443
37726,ENSG00000200795.1,RNU4-1,snRNA,10.253142047777745,8.641139670872207,7.84762197795902,8.913967898869656,1.225747989216928
33380,ENSG00000176340.4,COX8A,protein_coding,8.861286517664903,9.001448410852255,8.843029134392841,8.901921354303333,0.0866750209111886
3616,ENSG00000158710.15,TAGLN2,protein_coding,8.914086332938767,9.221071707447614,8.485400423010208,8.873519487798863,0.3695095551943131
