Gene,Gene name,TLS23A/AGGGTA,TLS23A/GTTAGG,TLS23B/AGGGTA,TLS23B/GTTAGG,TLS23D/AGGGTA,TLS23D/GTTAGG,TLS23E/AGGGTA,TLS23E/GTTAGG,TLS23F/AGGGTA,TLS23F/GTTAGG
ENSMUSG00000051951.6,Xkr4,9,3,19,6,5,3,12,3,9,2
ENSMUSG00000103377.2,Gm37180,4,0,8,3,1,0,1,0,1,0
ENSMUSG00000104017.2,Gm37363,2,0,2,2,0,0,2,0,2,0
ENSMUSG00000103025.2,Gm37686,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201.2,Gm37329,2,0,3,1,0,1,0,0,0,0
ENSMUSG00000103161.2,Gm38148,5,1,3,0,0,0,1,0,0,0
ENSMUSG00000102331.2,Gm19938,4,0,5,3,1,0,4,0,1,1
ENSMUSG00000025900.14,Rp1,90,49,58,48,55,39,92,50,49,32
ENSMUSG00000098104.2,Gm6085,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000033845.14,Mrpl15,4,1,6,2,1,2,2,3,2,0
ENSMUSG00000025903.15,Lypla1,3,2,0,2,0,0,3,1,3,1
ENSMUSG00000002459.18,Rgs20,2,1,0,0,0,1,1,2,3,2
ENSMUSG00000085623.2,Gm16041,2,0,1,1,0,0,0,0,0,0
ENSMUSG00000091665.2,Gm17101,1,0,0,1,0,0,0,0,0,0
ENSMUSG00000033793.13,Atp6v1h,2,3,6,4,3,1,12,4,11,1
ENSMUSG00000090031.3,4732440D04Rik,1,0,1,0,0,0,1,0,0,0
ENSMUSG00000025907.15,Rb1cc1,12,6,22,14,13,3,10,6,14,1
ENSMUSG00000033740.18,St18,6,2,21,3,9,1,13,1,7,0
ENSMUSG00000051285.18,Pcmtd1,2,2,6,3,5,0,11,2,3,1
ENSMUSG00000025909.17,Sntg1,10,2,11,3,6,1,15,2,4,3
ENSMUSG00000102253.2,Gm38259,1,0,2,0,2,0,0,0,0,0
ENSMUSG00000102871.2,Gm37143,1,0,1,0,0,0,1,0,0,0
ENSMUSG00000061024.9,Rrs1,0,1,0,0,0,0,0,1,1,0
ENSMUSG00000067879.4,Vxn,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000025912.17,Mybl1,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000045210.9,Vcpip1,13,4,22,3,15,4,21,5,20,3
ENSMUSG00000025917.10,Cops5,4,1,2,2,5,1,5,1,1,1
ENSMUSG00000056763.17,Cspp1,5,1,11,1,2,0,8,0,3,0
ENSMUSG00000067851.12,Arfgef1,20,13,35,20,39,8,46,13,33,8
ENSMUSG00000048960.14,Prex2,11,2,11,8,9,2,15,3,7,2
ENSMUSG00000057715.14,A830018L16Rik,1,1,0,0,0,1,1,0,0,1
ENSMUSG00000097628.2,Gm2383,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000098163.2,Gm6216,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000016918.16,Sulf1,12,2,23,5,13,2,9,2,7,2
ENSMUSG00000025938.17,Slco5a1,2,0,5,2,4,1,2,0,0,1
ENSMUSG00000005886.15,Ncoa2,48,15,71,24,57,18,87,17,61,12
ENSMUSG00000104170.2,Gm37702,1,0,1,0,0,0,1,1,0,0
ENSMUSG00000103085.2,Gm38120,2,2,3,1,1,0,0,0,0,0
ENSMUSG00000102664.2,Gm38380,2,0,2,1,0,0,1,0,2,0
ENSMUSG00000025935.11,Tram1,11,4,9,4,3,4,8,3,10,5
ENSMUSG00000025937.7,Lactb2,0,1,1,3,2,1,0,0,1,0
ENSMUSG00000097711.2,Gm5523,1,0,0,0,0,1,1,0,0,0
ENSMUSG00000102937.2,Gm38116,1,0,3,2,1,0,1,1,0,0
ENSMUSG00000092083.5,Kcnb2,25,7,22,11,21,0,22,8,9,1
ENSMUSG00000025925.15,Terf1,2,2,1,2,1,0,1,1,1,0
ENSMUSG00000104379.2,Gm37509,1,2,2,1,0,0,1,0,0,0
ENSMUSG00000043716.14,Rpl7,1,0,3,3,4,0,7,1,3,0
ENSMUSG00000025921.8,Rdh10,4,2,19,0,7,1,6,2,12,1
ENSMUSG00000025920.20,Stau2,12,3,11,2,10,5,9,2,8,0
ENSMUSG00000025939.20,Ube2w,2,2,6,1,8,0,4,4,3,2
ENSMUSG00000079658.10,Eloc,7,2,4,4,1,2,1,3,5,0
ENSMUSG00000025940.7,Tmem70,1,0,1,2,3,0,3,0,1,0
ENSMUSG00000025779.11,Ly96,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000025777.9,Gdap1,12,5,11,5,6,4,9,3,5,2
ENSMUSG00000025776.14,Crispld1,1,0,4,0,0,0,1,0,1,0
ENSMUSG00000025927.14,Tfap2b,111,32,169,69,81,22,207,25,125,27
ENSMUSG00000100204.2,Gm4849,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000025931.16,Paqr8,4,1,3,2,3,1,5,1,3,1
ENSMUSG00000041809.6,Efhc1,0,1,1,0,1,0,0,0,0,0
ENSMUSG00000041779.6,Tram2,1,0,3,0,1,0,2,1,1,0
ENSMUSG00000082935.4,Gm7658,2,0,0,0,1,0,1,1,0,0
ENSMUSG00000041670.20,Rims1,69,31,50,21,34,14,70,12,81,21
ENSMUSG00000026158.12,Ogfrl1,28,4,30,9,14,4,26,3,12,2
ENSMUSG00000026156.9,B3gat2,6,0,3,2,2,1,2,1,1,0
ENSMUSG00000026155.14,Smap1,7,1,5,3,7,2,13,3,6,3
ENSMUSG00000026153.16,Fam135a,5,1,7,6,5,1,7,1,1,0
ENSMUSG00000026147.17,Col9a1,2,0,9,4,4,2,0,1,2,0
ENSMUSG00000101939.2,Gm28438,1,0,0,0,2,0,1,0,0,0
ENSMUSG00000073725.9,Lmbrd1,13,4,11,7,11,3,13,5,14,1
ENSMUSG00000033569.18,Adgrb3,14,5,44,23,19,4,38,4,20,2
ENSMUSG00000104257.2,Gm20172,0,1,2,2,1,1,0,0,0,1
ENSMUSG00000103209.2,Gm37331,8,1,3,1,0,0,2,0,0,0
ENSMUSG00000104027.2,Gm37211,2,1,3,3,1,0,0,0,1,0
ENSMUSG00000102407.2,Gm37862,1,0,4,1,0,0,1,0,1,0
ENSMUSG00000103214.2,Gm38286,2,0,1,0,0,0,2,0,0,0
ENSMUSG00000104100.2,Gm37880,3,0,5,4,1,0,0,1,1,0
ENSMUSG00000103889.2,Gm37011,0,1,0,1,0,0,0,0,0,0
ENSMUSG00000104221.2,Gm37051,1,0,2,1,0,0,0,0,1,0
ENSMUSG00000102250.2,Gm38260,3,2,5,2,2,1,2,0,2,1
ENSMUSG00000102317.2,Gm37628,5,0,3,0,5,0,5,0,3,1
ENSMUSG00000103563.2,8030445P17Rik,1,0,1,0,3,0,1,1,1,0
