"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pde6a",150.594950937989,-7.77510057233179,0.201387008854044,-38.6077563621137,0,0
"AI847159",91.0571575191469,-7.1130459158287,0.225283981697675,-31.5736869626808,8.483856420443e-219,8.06857164866232e-215
"Pdc",949.642284050692,-7.91770696574398,0.275399503557797,-28.74989556429,9.08484606419987e-182,5.76009523290486e-178
"Rho",2630.04514524318,-8.23250502564685,0.292181544845968,-28.1759925322691,1.1514376231851e-174,5.47537375765094e-171
"Mpp4",105.963567174764,-3.88133774648824,0.14384368748862,-26.9830245195523,2.33833861593011e-160,8.89550776272133e-157
"Pde6b",340.491638007883,-7.51442872235187,0.290376100596877,-25.8782616988992,1.17012669894014e-147,3.70949665675673e-144
"Pex5l",92.1143950412265,-7.28098715492954,0.284017067270655,-25.6357381086226,6.09829768756481e-145,1.65708171878815e-141
"Rdh12",167.519022561128,-6.04461391507232,0.236210299460118,-25.5899676215978,1.97292838187551e-144,4.69088384395675e-141
"Guca1b",247.89509597781,-8.01173934016937,0.31522909641368,-25.4156086202635,1.69520797398008e-142,3.58272787478612e-139
"Gnat1",706.464442346722,-7.80047640921625,0.314004693711407,-24.8419102180219,3.16256555582298e-136,6.01551594373089e-133
"Slc24a1",321.373025393591,-7.84397545120371,0.319741307082039,-24.5322555374151,6.68991779745352e-133,1.15680842204876e-129
"Gnb1",692.373741172274,-6.04543610509339,0.247764606188404,-24.3999181242875,1.71360809564683e-131,2.71621163227487e-128
"Nrl",349.983453624166,-7.61667657627889,0.329610603257707,-23.1081054462431,3.83793129627608e-118,5.61548393742056e-115
"Rp1",471.452305037203,-7.58384639465195,0.329741171671809,-22.9993917841723,4.72706228680637e-117,6.42238941123886e-114
"Cnga1",263.792461903042,-7.84740645431835,0.350092650282509,-22.4152276489833,2.7960779064899e-111,3.54561319062296e-108
"Wdr17",44.0865733685449,-6.0170870541346,0.275440856351521,-21.84529606042,8.61649413267352e-106,1.02433959310989e-102
"Rs1",278.976518951621,-7.80333013592959,0.357952572139433,-21.799899604828,2.32526356454943e-105,2.60169636831145e-102
"Gm11744",136.764420276883,-4.77608843936777,0.219192775971566,-21.7894427323067,2.92184504921689e-105,3.08757859339747e-102
"Tulp1",468.974648884417,-5.27271485037185,0.246161023613605,-21.4197795124883,8.74015884610443e-102,8.74981902167118e-99
"Reep6",117.334309675925,-6.49974097939164,0.308616508660029,-21.060898548858,1.81695829180334e-98,1.72801818341957e-95
"Samd11",107.042233492862,-6.64297299808722,0.318240679446367,-20.8740535925318,9.21762161015752e-97,8.34897050699077e-94
"Sag",1454.33123593004,-7.30740513849991,0.351013701842275,-20.8180053945115,2.97305719708337e-96,2.57047822480558e-93
"Ankrd33",41.2459042612501,-7.59707161146413,0.369855472946017,-20.5406494351727,9.33065963178687e-94,7.71645551548774e-91
"Grk1",50.6041702085437,-7.15814643947667,0.349090748945138,-20.5051163948249,1.93805386545327e-93,1.53598844061611e-90
"Casz1",47.8328656547019,-6.45938588364821,0.32169865833567,-20.0789954085176,1.12649853472053e-89,8.57085145156768e-87
"Rom1",589.353576827988,-2.58165475934719,0.129387440969896,-19.9529006833659,1.41439690508596e-88,1.03474013583231e-85
"Rcvrn",533.66768357425,-6.47711979395291,0.326033236926453,-19.8664401673073,7.94406104251087e-88,5.59644389220738e-85
"Aipl1",163.190519618454,-5.67213482411991,0.286551486458859,-19.7944700766166,3.32227642585696e-87,2.25689356772233e-84
"Prph2",728.732852273881,-5.09235453807981,0.258132333081025,-19.7276895819222,1.24742586462673e-86,8.18182323140174e-84
"Pde6g",882.343050562854,-6.33160505766606,0.321614961347495,-19.6869108052003,2.7920620688482e-86,1.77026042038539e-83
