,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
0610005C13Rik,0610005C13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,4,2,2,2,5,4,4
0610007P14Rik,0610007P14Rik,0,2,7,5,4,6,0.0,0,0,0,2,0,41,42,34,34,141,117,248,288,290,302,746,626
0610009B22Rik,0610009B22Rik,2,4,6,18,17,16,0.0,1,0,0,5,1,20,25,42,37,100,90,372,389,364,397,747,721
0610009E02Rik,0610009E02Rik,0,0,0,0,0,1,0.0,0,0,0,1,0,9,15,21,23,80,46,6,8,9,10,19,10
0610009L18Rik,0610009L18Rik,0,0,1,2,1,2,0.0,0,0,0,0,1,1,2,6,3,14,6,20,37,21,32,54,46
0610009O20Rik,0610009O20Rik,0,0,4,2,1,0,0.0,0,0,0,1,1,14,21,25,21,56,44,81,107,108,120,192,194
0610010F05Rik,0610010F05Rik,3,0,1,2,2,4,0.0,0,1,1,0,2,5,7,7,5,16,9,147,214,158,176,412,350
0610010K14Rik,0610010K14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,2,11,6,3,9,6
0610011F06Rik,0610011F06Rik,2,6,4,4,14,11,0.0,0,0,0,5,3,30,61,58,50,147,121,364,460,434,457,742,662
0610025J13Rik,0610025J13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,2,0
0610030E20Rik,0610030E20Rik,0,0,1,5,3,7,0.0,0,0,0,0,0,14,30,17,20,62,65,167,190,237,271,484,387
0610037L13Rik,0610037L13Rik,1,3,3,3,3,3,0.0,0,0,0,1,3,25,41,34,31,132,105,166,203,222,224,496,421
0610038B21Rik,0610038B21Rik,0,0,0,3,0,3,0.0,0,0,0,2,1,0,0,0,0,0,0,1,3,6,1,12,2
0610039K10Rik,0610039K10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,7,10,3
0610040B10Rik,0610040B10Rik,0,0,0,2,0,4,0.0,1,0,0,3,1,3,5,0,3,8,7,99,101,117,116,268,224
0610040F04Rik,0610040F04Rik,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,5,3
0610040J01Rik,0610040J01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,4,3,5,3,21,13,0,2,1,0,4,3
0610043K17Rik,0610043K17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,3,0,0,1,2,5,5,6,10,4
1010001B22Rik,1010001B22Rik,0,0,0,0,0,0,0.0,1,0,0,0,0,0,2,2,2,10,10,0,2,0,2,2,3
1010001N08Rik,1010001N08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1110001J03Rik,1110001J03Rik,4,1,4,12,8,10,0.0,0,1,1,3,5,31,40,25,47,87,111,630,891,741,903,1419,1345
1110002E22Rik,1110002E22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,5,7,4,2,1,0,6,2,0
1110002J07Rik,1110002J07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,10
1110002L01Rik,1110002L01Rik,4,1,4,7,5,7,0.0,0,0,0,1,0,5,6,8,11,19,10,141,195,172,191,335,209
1110002O04Rik,1110002O04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,5
1110004E09Rik,1110004E09Rik,1,3,5,6,20,9,0.0,1,1,2,4,3,25,45,55,44,172,125,472,548,504,662,1276,1110
1110004F10Rik,1110004F10Rik,7,7,11,21,21,19,0.0,0,0,0,3,4,75,106,115,105,322,259,771,1016,972,1148,1911,1596
1110007C09Rik,1110007C09Rik,0,4,0,0,3,4,0.0,0,0,0,0,0,5,14,6,13,37,30,22,34,21,18,71,70
1110008F13Rik,1110008F13Rik,1,0,4,15,17,11,0.0,0,0,1,2,3,28,38,35,38,134,78,530,667,541,651,1270,1112
1110008L16Rik,1110008L16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,2,5,2,17,14,10,17,34,19
1110008P14Rik,1110008P14Rik,4,4,1,1,6,1,0.0,0,0,0,5,1,9,15,9,10,46,34,236,254,204,299,617,554
1110012L19Rik,1110012L19Rik,1,1,0,1,2,3,0.0,0,0,0,0,3,18,17,22,32,55,44,121,135,134,180,312,295
1110015O18Rik,1110015O18Rik,0,0,3,1,1,0,0.0,0,0,0,0,0,0,1,0,0,5,0,19,17,28,25,76,66
1110017D15Rik,1110017D15Rik,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,5,2,2,4,6,6
