,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
0610005C13Rik,0610005C13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,4,2,2,2,5,4,4
0610007P14Rik,0610007P14Rik,0,2,7,5,4,6,0.0,0,0,0,2,0,41,42,34,34,141,117,241,278,280,292,706,602
0610009B22Rik,0610009B22Rik,2,4,6,18,17,16,0.0,1,0,0,5,1,20,25,42,37,100,90,365,379,355,387,718,693
0610009E02Rik,0610009E02Rik,0,0,0,0,0,1,0.0,0,0,0,1,0,9,15,21,23,80,46,5,8,9,9,17,9
0610009L18Rik,0610009L18Rik,0,0,1,2,1,2,0.0,0,0,0,0,1,1,2,6,3,14,6,20,37,21,32,54,44
0610009O20Rik,0610009O20Rik,0,0,4,2,1,0,0.0,0,0,0,1,1,14,21,25,21,56,44,79,106,103,118,188,188
0610010F05Rik,0610010F05Rik,3,0,1,2,2,4,0.0,0,1,1,0,2,5,7,7,5,16,9,145,206,149,171,400,334
0610010K14Rik,0610010K14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,2,11,6,3,9,6
0610011F06Rik,0610011F06Rik,2,6,4,4,14,11,0.0,0,0,0,5,3,30,61,58,50,147,121,358,442,423,439,711,632
0610025J13Rik,0610025J13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,2,0
0610030E20Rik,0610030E20Rik,0,0,1,5,3,7,0.0,0,0,0,0,0,14,30,17,20,62,65,161,185,230,266,476,372
0610037L13Rik,0610037L13Rik,1,3,3,3,3,3,0.0,0,0,0,1,3,25,41,34,31,132,105,161,200,214,221,488,412
0610038B21Rik,0610038B21Rik,0,0,0,3,0,3,0.0,0,0,0,2,1,0,0,0,0,0,0,1,3,6,1,11,1
0610039K10Rik,0610039K10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,7,10,3
0610040B10Rik,0610040B10Rik,0,0,0,2,0,4,0.0,1,0,0,3,1,3,5,0,3,8,7,97,97,115,115,257,214
0610040F04Rik,0610040F04Rik,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,4,2
0610040J01Rik,0610040J01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,4,3,5,3,21,13,0,2,1,0,4,2
0610043K17Rik,0610043K17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,3,0,0,1,2,5,5,6,10,4
1010001B22Rik,1010001B22Rik,0,0,0,0,0,0,0.0,1,0,0,0,0,0,2,2,2,10,10,0,1,0,2,2,3
1010001N08Rik,1010001N08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1110001J03Rik,1110001J03Rik,4,1,4,12,8,10,0.0,0,1,1,3,5,31,40,25,47,87,111,613,876,730,892,1373,1306
1110002E22Rik,1110002E22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,5,7,4,2,1,0,6,2,0
1110002J07Rik,1110002J07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,10
1110002L01Rik,1110002L01Rik,4,1,4,7,5,7,0.0,0,0,0,1,0,5,6,8,11,19,10,140,195,172,189,330,204
1110002O04Rik,1110002O04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,5
1110004E09Rik,1110004E09Rik,1,3,5,6,20,9,0.0,1,1,2,4,3,25,45,55,44,172,125,466,544,491,647,1233,1087
1110004F10Rik,1110004F10Rik,7,7,11,21,21,19,0.0,0,0,0,3,4,75,106,115,105,322,259,744,998,933,1119,1824,1546
1110007C09Rik,1110007C09Rik,0,4,0,0,3,4,0.0,0,0,0,0,0,5,14,6,13,37,30,22,33,20,17,70,69
1110008F13Rik,1110008F13Rik,1,0,4,15,17,11,0.0,0,0,1,2,3,28,38,35,38,134,78,523,657,527,645,1233,1081
1110008L16Rik,1110008L16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,2,5,2,16,14,10,16,34,19
1110008P14Rik,1110008P14Rik,4,4,1,1,6,1,0.0,0,0,0,5,1,9,15,9,10,46,34,231,253,198,296,604,544
1110012L19Rik,1110012L19Rik,1,1,0,1,2,3,0.0,0,0,0,0,3,18,17,22,32,55,44,117,135,131,173,298,285
1110015O18Rik,1110015O18Rik,0,0,3,1,1,0,0.0,0,0,0,0,0,0,1,0,0,5,0,9,15,16,18,46,48
1110017D15Rik,1110017D15Rik,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,5,2,2,4,6,6
1110018N20Rik,1110018N20Rik,0,0,1,0,1,2,0.0,0,0,0,0,1,0,1,0,0,3,0,18,27,23,23,50,46
1110019D14Rik,1110019D14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,4,12,6,14,28,15,5,8,15,11,27,27
1110020A21Rik,1110020A21Rik,1,0,0,1,0,0,0.0,0,0,0,1,1,2,1,2,2,9,10,23,36,19,37,61,55
1110025M09Rik,1110025M09Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,1,4,3,0,8,12,11,12,12,8,32,28
1110028F18Rik,1110028F18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1110032A03Rik,1110032A03Rik,0,1,4,3,7,8,0.0,0,0,0,1,2,11,18,18,16,62,45,185,203,208,259,389,348
1110032F04Rik,1110032F04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,3,3
1110034G24Rik,1110034G24Rik,1,0,0,2,4,2,0.0,0,1,0,1,1,8,12,7,11,25,23,48,76,59,62,119,117
1110035H17Rik,1110035H17Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0,5,3,24,26,21,29,36,21
1110037F02Rik,1110037F02Rik,2,1,2,5,3,3,0.0,0,0,0,1,4,11,15,12,27,58,42,194,223,207,269,429,366
1110038B12Rik,1110038B12Rik,0,1,0,3,2,2,0.0,0,0,0,1,0,5,4,9,7,25,19,83,129,87,119,205,224
1110038F14Rik,1110038F14Rik,4,4,2,4,5,4,0.0,0,1,0,4,4,25,34,27,32,82,67,208,288,277,383,495,410
1110046J04Rik,1110046J04Rik,0,2,0,0,1,0,0.0,0,0,0,2,1,2,2,2,1,12,7,20,56,40,49,89,91
1110051M20Rik,1110051M20Rik,1,5,0,7,14,11,0.0,0,0,1,4,2,21,19,12,16,54,46,187,234,207,283,545,399
1110054M08Rik,1110054M08Rik,0,0,1,0,0,0,0.0,0,0,0,0,0,12,12,16,22,0,0,1,2,2,2,0,0
1110057K04Rik,1110057K04Rik,1,0,2,5,0,0,0.0,0,0,0,0,0,27,28,36,23,0,0,97,124,120,154,0,0
1110059E24Rik,1110059E24Rik,1,2,1,5,0,0,0.0,0,0,0,3,2,10,16,36,28,57,62,163,178,140,174,300,287
1110059G10Rik,1110059G10Rik,0,1,2,5,8,3,0.0,1,0,0,1,4,15,13,23,14,54,47,147,230,204,223,372,301
1110065P20Rik,1110065P20Rik,1,1,3,9,13,10,0.0,1,0,0,0,1,14,29,21,23,70,62,559,635,560,719,1302,1203
1190002F15Rik,1190002F15Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,11,8,9,17,22,20,1,4,1,1,0,4
1190002N15Rik,1190002N15Rik,1,0,0,1,2,1,0.0,0,1,1,0,0,15,26,18,26,81,58,70,117,68,107,163,139
1190003K10Rik,1190003K10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
