Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
0610005C13Rik,0,0,0,0,0,0,1,1,1,4,3,4
0610007P14Rik,0,2,7,5,4,6,190,220,218,227,578,485
0610009B22Rik,2,4,6,17,17,16,275,288,275,297,567,546
0610009E02Rik,0,0,0,0,0,1,7,10,12,13,36,20
0610009L18Rik,0,0,1,2,1,2,14,28,17,24,43,35
0610009O20Rik,0,0,4,2,1,0,62,83,85,93,155,152
0610010F05Rik,3,0,1,2,2,4,107,157,116,128,301,256
0610010K14Rik,0,0,0,0,0,0,1,8,4,2,6,4
0610011F06Rik,2,6,4,4,14,11,271,349,329,344,577,512
0610025J13Rik,0,0,0,0,0,0,1,0,0,1,2,1
0610030E20Rik,0,0,1,5,3,7,125,145,176,202,366,297
0610037L13Rik,1,3,3,3,3,3,127,158,169,171,395,333
0610038B21Rik,0,0,0,3,0,3,1,2,4,1,9,1
0610039K10Rik,0,0,0,0,0,0,1,4,4,5,7,2
0610040B10Rik,0,0,0,2,0,4,72,74,84,85,195,164
0610040F04Rik,1,0,0,0,0,0,2,3,1,1,4,2
0610040J01Rik,0,0,0,0,0,0,1,2,2,1,9,6
0610043K17Rik,0,0,0,0,0,0,1,4,5,4,7,3
1010001B22Rik,0,0,0,0,0,0,0,2,1,2,4,5
1010001N08Rik,0,0,0,0,0,0,0,0,0,1,0,0
1110001J03Rik,4,1,4,12,8,10,464,654,542,665,1049,1002
1110002E22Rik,0,0,0,0,0,0,1,1,0,5,3,1
1110002J07Rik,0,0,0,0,0,0,1,1,1,1,6,7
1110002L01Rik,4,1,4,7,5,7,103,143,126,141,247,154
1110002O04Rik,0,0,0,0,0,0,0,4,1,0,4,4
1110004E09Rik,1,3,5,6,19,9,348,409,379,490,969,836
1110004F10Rik,7,7,11,20,20,18,578,763,734,858,1470,1224
1110007C09Rik,0,4,0,0,3,4,17,29,17,17,61,59
1110008F13Rik,1,0,4,15,17,11,391,493,401,481,954,825
1110008L16Rik,0,0,0,0,0,0,12,11,8,13,26,15
1110008P14Rik,4,4,1,1,6,1,173,187,150,219,458,409
1110012L19Rik,1,1,0,1,2,3,92,102,103,139,240,225
1110015O18Rik,0,0,3,1,1,0,14,12,20,18,56,48
1110017D15Rik,0,0,0,0,0,0,4,1,1,3,4,4
1110018N20Rik,0,0,1,0,1,2,13,19,17,17,39,34
1110019D14Rik,0,0,0,0,0,0,5,9,13,13,27,24
1110020A21Rik,1,0,0,1,0,0,18,26,15,28,48,44
1110025M09Rik,0,0,0,0,0,1,8,10,10,6,27,23
1110028F18Rik,0,0,0,0,0,0,1,0,0,0,0,0
1110032A03Rik,0,1,4,3,7,8,138,153,158,195,308,270
1110032F04Rik,0,0,0,0,0,0,0,1,0,1,2,2
1110034G24Rik,1,0,0,2,4,2,40,59,47,50,98,90
1110035H17Rik,0,0,0,0,1,0,17,19,17,22,28,17
1110037F02Rik,2,1,2,5,3,3,145,169,153,211,345,285
1110038B12Rik,0,1,0,3,2,2,63,95,67,90,162,173
1110038F14Rik,4,4,2,4,5,4,162,221,215,291,395,332
1110046J04Rik,0,2,0,0,1,0,15,42,30,35,69,70
1110051M20Rik,1,5,0,7,14,11,143,175,156,216,420,305
1110054M08Rik,0,0,1,0,0,0,4,4,5,7,0,0
1110057K04Rik,1,0,2,5,0,0,79,103,102,121,0,0
1110059E24Rik,1,2,1,5,0,0,123,136,115,142,239,233
1110059G10Rik,0,1,2,5,8,3,112,173,163,169,294,238
1110065P20Rik,1,1,3,9,13,10,416,469,418,535,983,905
1190002F15Rik,0,0,0,0,0,0,4,5,4,6,6,9
1190002N15Rik,1,0,0,1,2,1,56,92,56,89,149,120
1190003K10Rik,0,0,0,0,0,0,1,0,0,1,0,0
1190005I06Rik,3,3,6,13,16,21,591,756,657,853,1276,1224
1190007I07Rik,1,0,0,2,0,0,50,80,64,86,95,90
1200007C13Rik,0,0,0,0,0,0,0,1,0,0,1,0
1200014J11Rik,5,1,3,12,4,8,225,312,256,366,601,527
1300002E11Rik,0,0,3,2,0,2,72,81,80,103,212,163
1300017J02Rik,0,0,0,0,0,0,1,1,0,1,0,1
1500002C15Rik,0,0,0,1,0,0,7,15,13,12,24,18
1500002F19Rik,0,0,0,0,0,0,2,4,1,4,7,7
1500004A13Rik,1,0,1,1,2,1,79,113,110,114,180,158
1500009C09Rik,1,0,4,5,8,1,206,270,186,305,558,463
1500009L16Rik,1,1,1,2,2,1,58,67,54,56,213,204
1500011B03Rik,7,5,4,9,17,9,343,418,338,450,964,837
1500011K16Rik,2,5,5,10,14,13,308,490,391,494,858,782
1500012F01Rik,5,4,3,8,21,7,230,298,219,319,630,517
1500012K07Rik,0,0,0,0,0,0,1,3,1,6,4,0
1500015A07Rik,7,1,1,4,1,2,97,127,117,145,184,186
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,0,0,0,0,1,1,1,0,2
1500017E21Rik,0,2,0,1,0,0,10,13,18,24,50,52
1500026H17Rik,0,0,1,0,0,1,23,32,27,24,58,75
1500035N22Rik,1,0,0,0,0,0,26,16,25,34,35,27
1520401A03Rik,0,0,0,0,0,0,0,1,0,1,2,1
1600002H07Rik,0,1,0,1,0,0,22,29,26,28,96,54
1600002K03Rik,1,0,2,1,1,2,50,59,61,51,162,131
1600012H06Rik,1,1,0,0,1,4,70,94,73,92,134,128
1600014C10Rik,3,1,0,0,1,0,23,31,39,34,81,71
1600014C23Rik,0,0,0,0,0,0,6,7,7,12,28,17
1600020E01Rik,2,1,1,6,5,1,65,87,89,86,171,128
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,1,1,2,7,15,5
1700001G17Rik,0,0,0,0,0,0,0,3,0,4,0,1
1700001J03Rik,0,0,0,0,0,0,2,7,4,3,11,7
1700001K19Rik,0,0,0,0,0,1,2,1,0,1,1,1
1700001L05Rik,0,0,0,0,0,0,1,1,1,1,2,1
1700001L19Rik,0,0,0,0,0,0,4,4,2,0,20,12
1700001O22Rik,0,0,0,0,0,0,1,1,1,2,4,2
1700001P01Rik,0,0,0,0,0,0,0,1,1,0,1,1
1700003D09Rik,0,0,0,0,0,0,0,0,1,0,0,1
1700003E16Rik,0,0,0,0,0,0,1,2,0,0,4,2
1700003F12Rik,0,0,0,0,0,0,4,4,2,5,7,10
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700003M02Rik,0,1,0,1,2,0,0,1,0,1,1,1
1700003M07Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700003P14Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0,1,0,1,1
1700007G11Rik,0,0,0,0,0,0,0,3,0,1,1,0
1700007J10Rik,0,0,0,0,0,0,1,1,0,1,1,3
1700007K09Rik,0,0,0,0,0,0,0,2,0,1,0,1
1700007K13Rik,0,0,0,0,1,0,1,1,0,0,0,1
1700007L15Rik,0,0,0,0,0,0,4,5,3,2,5,6
1700007M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008A23Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700008F21Rik,0,0,0,0,0,0,0,0,1,1,1,1
