Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
0610005C13Rik,0,0,0,0,0,0,1,1,1,4,3,4
0610007P14Rik,0,2,7,5,4,6,185,213,211,220,549,468
0610009B22Rik,2,4,6,17,17,16,270,281,268,289,546,525
0610009E02Rik,0,0,0,0,0,1,7,10,12,12,34,19
0610009L18Rik,0,0,1,2,1,2,14,28,17,24,43,34
0610009O20Rik,0,0,4,2,1,0,61,83,81,91,152,148
0610010F05Rik,3,0,1,2,2,4,106,151,110,124,293,244
0610010K14Rik,0,0,0,0,0,0,1,8,4,2,6,4
0610011F06Rik,2,6,4,4,14,11,266,336,321,331,554,490
0610025J13Rik,0,0,0,0,0,0,1,0,0,1,2,1
0610030E20Rik,0,0,1,5,3,7,120,142,171,198,361,287
0610037L13Rik,1,3,3,3,3,3,123,155,164,169,389,326
0610038B21Rik,0,0,0,3,0,3,1,2,4,1,8,1
0610039K10Rik,0,0,0,0,0,0,1,4,4,5,7,2
0610040B10Rik,0,0,0,2,0,4,71,71,83,84,188,157
0610040F04Rik,1,0,0,0,0,0,2,3,1,1,3,1
0610040J01Rik,0,0,0,0,0,0,1,2,2,1,9,5
0610043K17Rik,0,0,0,0,0,0,1,4,5,4,7,3
1010001B22Rik,0,0,0,0,0,0,0,2,1,2,4,5
1010001N08Rik,0,0,0,0,0,0,0,0,0,1,0,0
1110001J03Rik,4,1,4,12,8,10,452,643,534,657,1015,974
1110002E22Rik,0,0,0,0,0,0,1,1,0,5,3,1
1110002J07Rik,0,0,0,0,0,0,1,1,1,1,6,7
1110002L01Rik,4,1,4,7,5,7,102,143,126,139,243,150
1110002O04Rik,0,0,0,0,0,0,0,4,1,0,4,4
1110004E09Rik,1,3,5,6,19,9,343,406,370,479,938,820
1110004F10Rik,7,7,11,20,20,18,558,750,706,837,1407,1188
1110007C09Rik,0,4,0,0,3,4,17,28,16,16,61,58
1110008F13Rik,1,0,4,15,17,11,386,485,390,477,927,802
1110008L16Rik,0,0,0,0,0,0,12,11,8,13,26,15
1110008P14Rik,4,4,1,1,6,1,170,187,146,217,449,402
1110012L19Rik,1,1,0,1,2,3,89,102,101,134,230,218
1110015O18Rik,0,0,3,1,1,0,6,11,12,13,34,35
1110017D15Rik,0,0,0,0,0,0,4,1,1,3,4,4
1110018N20Rik,0,0,1,0,1,2,13,19,17,17,37,33
1110019D14Rik,0,0,0,0,0,0,5,9,13,12,27,23
1110020A21Rik,1,0,0,1,0,0,18,26,15,28,47,43
1110025M09Rik,0,0,0,0,0,1,8,10,10,6,25,23
1110028F18Rik,0,0,0,0,0,0,1,0,0,0,0,0
1110032A03Rik,0,1,4,3,7,8,137,152,155,191,298,264
1110032F04Rik,0,0,0,0,0,0,0,1,0,1,2,2
1110034G24Rik,1,0,0,2,4,2,37,58,45,48,93,90
1110035H17Rik,0,0,0,0,1,0,17,19,15,21,27,16
1110037F02Rik,2,1,2,5,3,3,143,165,152,202,326,276
1110038B12Rik,0,1,0,3,2,2,61,94,66,88,155,167
1110038F14Rik,4,4,2,4,5,4,157,217,208,286,380,315
1110046J04Rik,0,2,0,0,1,0,15,41,30,35,67,68
1110051M20Rik,1,5,0,7,14,11,141,174,152,208,408,301
1110054M08Rik,0,0,1,0,0,0,4,4,5,7,0,0
1110057K04Rik,1,0,2,5,0,0,78,98,97,117,0,0
1110059E24Rik,1,2,1,5,0,0,121,133,111,134,233,224
1110059G10Rik,0,1,2,5,8,3,110,170,153,165,284,230
1110065P20Rik,1,1,3,9,13,10,408,466,410,525,959,886
1190002F15Rik,0,0,0,0,0,0,4,5,4,6,6,9
1190002N15Rik,1,0,0,1,2,1,55,91,54,84,141,116
1190003K10Rik,0,0,0,0,0,0,1,0,0,1,0,0
1190005I06Rik,3,3,6,13,16,21,588,748,653,846,1261,1208
1190007I07Rik,1,0,0,2,0,0,50,77,61,84,94,89
1200007C13Rik,0,0,0,0,0,0,0,1,0,0,1,0
1200014J11Rik,5,1,3,12,4,8,216,305,243,356,578,511
1300002E11Rik,0,0,3,2,0,2,72,81,76,103,208,162
1300017J02Rik,0,0,0,0,0,0,0,1,0,1,0,1
1500002C15Rik,0,0,0,1,0,0,7,15,12,12,24,17
1500002F19Rik,0,0,0,0,0,0,2,4,1,4,7,7
1500004A13Rik,1,0,1,1,2,1,76,113,107,112,170,151
1500009C09Rik,1,0,4,5,8,1,200,262,177,295,537,445
1500009L16Rik,1,1,1,2,2,1,56,66,50,53,200,199
1500011B03Rik,7,5,4,9,17,9,337,406,330,442,932,812
1500011K16Rik,2,5,5,10,14,13,298,473,380,481,822,753
1500012F01Rik,5,4,3,8,21,7,225,295,209,311,596,498
1500012K07Rik,0,0,0,0,0,0,1,3,1,6,3,0
1500015A07Rik,7,1,1,4,1,2,94,123,114,142,177,183
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,0,0,0,0,1,1,1,0,2
1500017E21Rik,0,2,0,1,0,0,10,13,18,23,49,51
1500026H17Rik,0,0,1,0,0,1,23,30,26,24,55,72
1500035N22Rik,1,0,0,0,0,0,26,16,25,32,35,27
1520401A03Rik,0,0,0,0,0,0,0,1,0,1,2,1
1600002H07Rik,0,1,0,1,0,0,22,29,25,27,95,50
1600002K03Rik,1,0,2,1,1,2,49,56,58,50,153,122
1600012H06Rik,1,1,0,0,1,4,68,94,72,90,130,124
1600014C10Rik,3,1,0,0,1,0,22,29,38,32,78,69
1600014C23Rik,0,0,0,0,0,0,6,7,7,11,27,17
1600020E01Rik,2,1,1,6,5,1,63,86,85,84,164,120
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
