"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Msi1",481.025470581806,-2.86496270289101,0.0921415219495246,-31.0930690341803,2.98846759152258e-212,4.51766645810468e-208
"Stk35",519.515780391187,-2.86743643628864,0.100465912262287,-28.541386543155,3.59300306675828e-179,2.71577136800925e-175
"Ctbp2",240.668677719889,-2.95508762712066,0.112649941575729,-26.2324825542329,1.13262826616407e-151,5.70731383320077e-148
"Slc6a6",852.487383604956,-2.89617051431568,0.111324112577638,-26.0156622609129,3.29325100441947e-149,1.24460188584523e-145
"Rp1l1",246.00564392312,-3.83716678517229,0.148392764933318,-25.858179722553,1.96869531051826e-147,5.9521534018209e-144
"Kcnv2",230.42363064484,-3.91186046655439,0.152618137860698,-25.6316878281201,6.7665470586092e-145,1.70483153141659e-141
"Kif21b",238.611523632753,-3.03603171987767,0.119948388166713,-25.3111506230327,2.40784928072143e-141,5.19992251095226e-138
"Tnrc6b",395.66508421134,-2.18403490174058,0.0865563752803792,-25.2325134303037,1.76218894423894e-140,3.32987628375751e-137
"Grk1",398.590294903241,-3.95797644442713,0.162538011308792,-24.3510820180254,5.64631127916922e-131,9.48392084524456e-128
"Crx",597.000551207673,-3.71460367541667,0.153917015221742,-24.1338078838469,1.10454753875811e-128,1.66974451434063e-125
"Tet3",338.813023199694,-2.33658765584233,0.0972482676682326,-24.0270362842217,1.45117660572527e-127,1.99431243170445e-124
"Med13l",201.204241455958,-2.58827231733678,0.108686371650601,-23.8141385900471,2.38383802880747e-125,3.00303995679021e-122
"Pcdh15",132.884773353478,-3.67258262337532,0.154710665495316,-23.7383932879955,1.44808463386709e-124,1.68389964693607e-121
"Pdzph1",132.239467862783,-4.06063312586505,0.171604441878037,-23.6627506923802,8.7250208382695e-124,9.42115285800857e-121
"Pcare",195.846008099332,-3.99913536940303,0.170893096233475,-23.40138634939,4.13691479445502e-121,4.16918272985176e-118
"Neurod1",252.426499233783,-3.35073501215651,0.143556737637321,-23.3408411705603,1.70737082912339e-120,1.61314530149114e-117
"Tnfaip3",127.484680396249,-4.07882826423207,0.175241953066366,-23.275409756974,7.86824669970737e-120,6.99672266820449e-117
"Rp1",889.824241944431,-4.09387087738667,0.175954509570068,-23.2666436761965,9.65239693315188e-120,8.10640469102538e-117
"Rtbdn",307.278789769735,-3.72864741675613,0.160417198996457,-23.2434392327128,1.65737602063509e-119,1.3186607002074e-116
"Epb41",565.49532254208,-2.82433738720423,0.122218527996852,-23.108913464225,3.76680276549299e-118,2.84713787029788e-115
"Pde6g",984.647665545215,-3.23850581818153,0.140434630936017,-23.0605926515164,1.15165600869379e-117,8.2902780397257e-115
"Tlcd3b",680.826241633858,-2.76234286616952,0.119897036559836,-23.0392922579946,1.88342967538729e-117,1.29417301831044e-114
"Esrrb",293.225811697283,-3.99315859231356,0.173578397784269,-23.0049282818962,4.16082232297981e-117,2.73474569810808e-114
"Rs1",726.995874833628,-3.83147335583063,0.16672518121662,-22.9807718778397,7.2585782270362e-117,4.57199696075442e-114
"Agpat3",520.713160164623,-2.80023748929781,0.124461134547505,-22.4988909146494,4.25570745289121e-112,2.57334118261426e-109
"Dpysl2",498.780921748769,2.19271086965161,0.0981588276096399,22.3383970963023,1.56560975836205e-110,9.10281642967656e-108
"Kcnb1",964.620642783555,-2.84701231567736,0.12838633119092,-22.1753537878081,5.94066548406058e-109,3.32611259713125e-106
"Aff1",187.58351830581,-2.4763203989035,0.111759805327755,-22.1575224799405,8.82756251694108e-109,4.76593794887851e-106
"Slc4a7",112.184286587499,-3.54897207932836,0.16128647690751,-22.0041515406374,2.62790030684289e-107,1.36986099788083e-104
"Klhl18",139.558097712399,-3.24139412247462,0.14814508146986,-21.8798632415892,4.04053040967622e-106,2.03602327343585e-103
"Rom1",444.590316574952,-3.40126957610138,0.157440966866923,-21.603459657208,1.66654708405608e-103,8.12683621602445e-101
"Unc119",421.72188543645,-3.06078329379113,0.142549200796047,-21.4717674788675,2.85934472442539e-102,1.35077231872308e-99
"Atp2b2",194.716404938679,3.22280577997041,0.15080465506769,21.3707314175668,2.50182973926609e-101,1.14606545965107e-98
"Rgs9bp",149.542830788344,-3.80856420019255,0.178622262077169,-21.3218898691763,7.11273860779611e-101,3.16244910394276e-98
