Gene,Gene name,LS8A/AGGGTA,LS8A/GTTAGG,LS8A/TATGGA,LS8B/TATGGA,LS8B/AGGGTA,LS8B/GTTAGG,LS8C/TATGGA,LS8C/AGGGTA,LS8C/GTTAGG,LS8D/AGGGTA,LS8D/GTTAGG,LS8D/TATGGA,LS8E/TATGGA,LS8E/GTTAGG,LS8E/AGGGTA,LS8F/TATGGA,LS8F/GTTAGG,LS8F/AGGGTA,LS8H/TATGGA,LS8H/GTTAGG,LS8H/AGGGTA
ENSMUSG00000064842.3,Gm26206,2,1,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000051951.6,Xkr4,29,10,10,1,23,6,3,24,8,30,11,4,4,1,1,0,1,0,2,0,0
ENSMUSG00000102851.2,Gm18956,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377.2,Gm37180,4,1,0,0,6,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017.2,Gm37363,1,1,0,0,4,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025.2,Gm37686,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103201.2,Gm37329,3,0,1,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103161.2,Gm38148,1,2,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000102331.2,Gm19938,6,0,1,0,0,2,0,2,0,4,2,0,0,1,1,1,0,0,0,0,0
ENSMUSG00000102348.2,Gm10568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900.14,Rp1,174,168,3537,3627,257,205,2298,268,191,145,139,1686,515,106,150,369,47,85,210,51,85
ENSMUSG00000025902.14,Sox17,4,0,0,0,3,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104.2,Gm6085,0,0,1,0,1,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0
ENSMUSG00000103922.2,Gm6123,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000033845.14,Mrpl15,13,4,18,20,21,2,15,18,3,12,6,12,7,1,0,3,1,1,1,0,1
ENSMUSG00000025903.15,Lypla1,14,5,22,19,11,7,10,12,6,8,0,6,8,2,1,1,0,0,6,0,1
ENSMUSG00000033813.16,Tcea1,1,1,0,1,1,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062588.5,Gm6104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103280.2,Gm37277,0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002459.18,Rgs20,9,11,68,80,11,6,44,10,6,9,7,30,13,1,7,14,0,0,2,0,2
ENSMUSG00000091305.2,Gm17100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623.2,Gm16041,0,0,4,5,0,0,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0
ENSMUSG00000091665.2,Gm17101,3,0,5,4,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0
ENSMUSG00000033793.13,Atp6v1h,42,6,20,19,37,7,15,38,7,34,10,7,7,1,1,9,1,0,5,0,1
ENSMUSG00000025905.15,Oprk1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090031.3,4732440D04Rik,3,1,5,7,5,2,2,2,1,1,1,2,1,2,0,1,0,1,0,0,0
ENSMUSG00000025907.15,Rb1cc1,53,17,62,56,37,15,26,36,14,41,8,21,18,0,4,5,0,0,5,2,2
ENSMUSG00000103845.2,Gm19026,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0
ENSMUSG00000033740.18,St18,6,37,11,4,3,35,1,5,36,5,26,9,7,1,1,4,0,1,3,1,2
ENSMUSG00000103329.3,Gm42492,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285.18,Pcmtd1,21,6,20,11,18,6,9,17,4,19,6,8,4,2,2,3,0,0,0,0,2
ENSMUSG00000103509.2,Gm38372,2,1,3,0,0,1,2,1,0,1,1,1,1,1,0,1,0,0,1,0,0
ENSMUSG00000025909.17,Sntg1,22,5,1,2,30,3,0,23,6,17,5,1,7,0,1,0,0,0,1,0,0
ENSMUSG00000103933.2,Gm36964,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ENSMUSG00000102316.2,Gm37629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000102871.2,Gm37143,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000061024.9,Rrs1,1,1,2,7,1,2,2,1,0,2,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000025911.15,Adhfe1,0,1,0,0,2,3,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000067879.4,Vxn,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099827.2,Gm29520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912.17,Mybl1,15,3,4,3,5,0,3,7,2,4,1,2,0,1,2,1,0,2,0,0,1
ENSMUSG00000045210.9,Vcpip1,74,13,74,82,44,21,33,50,20,58,21,29,22,2,5,8,2,2,5,3,3
ENSMUSG00000097893.9,1700034P13Rik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025915.15,Sgk3,1,1,4,1,2,1,1,1,0,3,1,0,1,0,0,2,0,0,0,0,0
ENSMUSG00000046101.17,Mcmdc2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000093178.3,Snord87,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098234.8,Snhg6,1,0,0,1,0,1,4,1,0,1,0,2,0,0,0,2,0,0,0,0,0
ENSMUSG00000099032.3,Tcf24,0,0,6,1,0,0,0,1,0,2,0,4,0,0,1,2,0,0,0,1,0
ENSMUSG00000025916.11,Ppp1r42,1,0,8,8,1,1,13,0,1,0,0,2,0,1,1,2,0,0,0,0,0
ENSMUSG00000087199.2,Gm15818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000025917.10,Cops5,33,4,10,16,19,6,4,27,2,21,2,1,3,1,1,2,0,0,3,0,0
ENSMUSG00000056763.17,Cspp1,14,2,20,28,11,4,12,6,1,4,4,18,9,1,0,2,0,0,2,1,1
ENSMUSG00000067851.12,Arfgef1,221,52,441,397,207,61,244,210,69,166,54,148,88,17,28,61,5,20,27,3,11
ENSMUSG00002076532.1,7SK,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083422.2,Gm15604,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0
ENSMUSG00000100648.2,Gm28659,0,1,1,0,3,0,1,1,1,2,0,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000100212.2,Gm5522,0,0,6,7,2,1,7,0,0,0,0,3,3,0,0,2,0,1,5,0,0
ENSMUSG00000081417.2,Gm15603,0,0,2,2,1,1,2,3,0,4,2,1,2,0,0,3,1,0,0,0,1
ENSMUSG00000048960.14,Prex2,27,15,30,11,26,20,6,26,10,20,18,10,7,0,1,2,0,1,4,1,1
ENSMUSG00000057715.14,A830018L16Rik,18,1,0,0,14,0,0,20,0,16,0,0,1,0,1,0,0,0,1,0,0
ENSMUSG00000101610.2,Gm7560,1,0,0,2,1,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0
ENSMUSG00000098163.2,Gm6216,3,0,2,3,1,0,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000016918.16,Sulf1,5,49,17,11,6,31,10,11,36,7,33,9,5,2,3,1,0,0,3,1,0
ENSMUSG00000025938.17,Slco5a1,4,20,10,2,2,24,1,1,22,4,16,2,5,1,4,1,1,1,0,0,0
