"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpr179",166.765024611464,3.82851949866327,0.176896844039704,21.6426670551791,7.12599501063112e-104,5.7714539911334e-100
"Vsx2",282.784578049235,3.96390264583743,0.183216908741734,21.6350263360519,8.41013332041298e-104,5.7714539911334e-100
"Map4",653.966869305466,1.4698938476894,0.0743760023194349,19.7630122868988,6.19924899763826e-87,2.8361564164195e-83
"Dpysl3",288.866864211301,-2.20393119232671,0.111754266310039,-19.7212264470725,1.41749320025481e-86,4.86377354337431e-83
"Trpm1",264.687018470659,3.77507668287894,0.192175865736858,19.643864584162,6.52394202670911e-86,1.79082208633165e-82
"Neurod4",130.475091986301,3.78334999628214,0.19858175784713,19.0518506699624,6.34199670420446e-81,1.45073174608677e-77
"Lrtm1",181.205324267486,3.38658031105,0.179993986924466,18.8149635935959,5.69475645556095e-79,1.1165790336082e-75
"Kcnma1",217.848738770752,2.73456459604436,0.149710743090032,18.2656537507123,1.55341299908441e-74,2.66507417655419e-71
"Prox1",243.37245941984,3.55031022629496,0.195947215169234,18.1187072407672,2.2686301464288e-73,3.45966097330392e-70
"Abca8a",99.7475556916893,3.32867277133029,0.18635464925149,17.8620323383409,2.32998811043526e-71,3.19790868157239e-68
"Gnao1",427.746839157986,2.38254501481531,0.134747583837813,17.6815416422088,5.81832877435101e-70,7.2596874934516e-67
"Glul",782.127665647954,2.89115759377013,0.163975430524375,17.6316511841105,1.40794531258544e-69,1.6103374512696e-66
"Ptprd",144.959961328247,3.34628625808953,0.191123367596129,17.5085145274371,1.23371660002647e-68,1.30252002579718e-65
"Gnai2",122.590484201266,2.70284411979911,0.154693426065534,17.4722623226024,2.33066991268148e-68,2.28488889653952e-65
"Zmiz1",390.169618842676,2.72637513870222,0.15735490165607,17.3262803383224,2.97989014602021e-67,2.7265994836085e-64
"Map1b",1825.85220671224,-1.54094020873009,0.0894683476095168,-17.2233001938909,1.7756805426679e-66,1.52320096550731e-63
"Rp1l1",246.00564392312,-2.68952124115504,0.157517542617766,-17.0744235623423,2.30086898812067e-65,1.85761334482095e-62
"Tnr",164.937079826192,3.42539910371249,0.205546089874786,16.6648711527384,2.35996606789137e-62,1.79947412676717e-59
"Nrxn3",193.688702204742,2.94479102136169,0.177309928469817,16.6081563890708,6.0834261180512e-62,4.39447491948699e-59
"Uhmk1",263.631855547668,-1.98843161145702,0.120001781818872,-16.5700173890611,1.1479259191613e-61,7.8776416202444e-59
"Kcnv2",230.42363064484,-2.59377196315879,0.158584390770097,-16.3557835078425,3.95587468141066e-60,2.58544666677911e-57
"Grik1",101.947116349172,3.70223464212741,0.226500020238733,16.3454053479784,4.69041414682906e-60,2.92617882569222e-57
"Grm6",70.2462763436123,3.70998075722033,0.228693677730689,16.2224893754572,3.49727975590901e-59,2.08696368042831e-56
"Kcnb1",964.620642783555,-2.11226654021977,0.131804154653851,-16.0257963473691,8.44026385580361e-58,4.82677589253769e-55
"Rlbp1",188.89731026631,2.55248698328611,0.160730253176701,15.880563446136,8.63987970314271e-57,4.74329395702535e-54
"Cabp5",78.5645317987065,3.30697907443707,0.208342542442753,15.8727979205003,9.77829114784829e-57,5.16180946170068e-54
"Gnb1",1500.29165071829,-1.99600077894869,0.125915988371093,-15.8518453833376,1.36512518311211e-56,6.93938634748654e-54
"Trnp1",130.094990441856,3.27922511895209,0.20845298856349,15.7312454071787,9.23760919528802e-56,4.52807807876172e-53
"Grk1",398.590294903241,-2.57984973172009,0.165108503326114,-15.6251778663665,4.90550829738909e-55,2.32165866833329e-52
"Rp1",889.824241944431,-2.75947775031205,0.17733890608819,-15.5604757646343,1.3509098423068e-54,6.18041252855359e-52
"Celf3",106.372788377105,2.9799059529412,0.192168258518955,15.5067542158491,3.12270151846805e-54,1.38255091422497e-51
"Agpat3",520.713160164623,-2.02080410607654,0.130386788653292,-15.4985342222823,3.54896510948969e-54,1.52217331649206e-51
"Dpysl2",498.780921748769,1.60711012746027,0.105169527084494,15.281138672128,1.02140294414934e-52,4.24810769953022e-50
"Tnrc6b",395.66508421134,-1.45191570028952,0.0953634575022217,-15.2250740306442,2.41085569192127e-52,9.73205716812337e-50
"Nyap2",75.3988772675113,3.448860760862,0.228432336411518,15.0979533591466,1.67038062411896e-51,6.55027830458079e-49
"Pcare",195.846008099332,-2.66751839664898,0.177153361958284,-15.0576786529015,3.07392195545885e-51,1.17193274551869e-48
"Ttyh1",161.446942944068,1.79727996573856,0.119388196949926,15.0540841695798,3.24562862401543e-51,1.20395278012464e-48
"Nfia",74.4928595268334,2.90091587314529,0.193343587838503,15.0039414576726,6.91859005856347e-51,2.49888548825746e-48
"Rs1",726.995874833628,-2.4785525911098,0.168151028761656,-14.7400382225613,3.56582884842547e-49,1.25489746011896e-46
"Rtbdn",307.278789769735,-2.42152218085195,0.164406132318696,-14.7289042488871,4.20468160759234e-49,1.44273137660512e-46
"Pdzph1",132.239467862783,-2.59290191665057,0.176318936537552,-14.7057483873738,5.92126503255103e-49,1.98217957492105e-46
"Ndnf",141.636382774727,3.75873548365644,0.255665640743002,14.7017623202437,6.28037008824129e-49,2.05233522526456e-46
"Stxbp1",811.90277985645,-1.08456400253378,0.0738510879131676,-14.6858229605092,7.94635634096551e-49,2.53636606464539e-46
"Lrp1",199.660503099714,1.97702258152224,0.135824926670165,14.5556683150156,5.37579826828959e-48,1.67688252800624e-45
"Reln",423.630383172194,2.452333608818,0.170248527163071,14.4044336223188,4.85279657067901e-47,1.4801029540571e-44
"Casz1",233.091307604327,-2.59540689920378,0.180325268575816,-14.3929185282903,5.73248694206792e-47,1.71039963651918e-44
"Plxna2",164.497818814233,-2.11392569446852,0.147625721643444,-14.3194944006724,1.65321569110724e-46,4.82774156605253e-44
"Tlcd3b",680.826241633858,-1.76270042917583,0.123124087909055,-14.316454717438,1.7271189582026e-46,4.93848077111056e-44
"Fat4",74.856185347237,3.954558784019,0.276402846231729,14.3072288796317,1.9721649388098e-46,5.52407424187029e-44
"Herc3",302.84250772544,-1.74122331772585,0.122160381292299,-14.2535845034695,4.25849554045753e-46,1.16895702585559e-43
"Plekhb1",261.434297552602,-1.60237114446677,0.112450585818634,-14.2495579974226,4.51127487478512e-46,1.21406367953776e-43
"Esrrb",293.225811697283,-2.4881423760215,0.174964048828354,-14.2208779042513,6.79945516118545e-46,1.79466388629366e-43
"Agap1",242.288617969626,1.46463783835086,0.103280268936931,14.1811969839588,1.19785781590188e-45,3.10199972136854e-43
"Map2",382.235010617001,-1.35536367525631,0.0957158657129142,-14.1602822600124,1.61344795873768e-45,4.10084689512494e-43
"Hlf",176.093652985131,1.9944743527552,0.141096264145723,14.1355574850326,2.29310814078601e-45,5.72234713314327e-43
"Prkca",204.121699631013,1.53245145952053,0.10843220376746,14.1328074711732,2.38445366230074e-45,5.84404044912101e-43
"Thsd7a",95.0534794953607,3.2491282398795,0.230573860073921,14.0914856473229,4.28452233360496e-45,1.03166787769698e-42
"Slc4a10",72.7098229765573,3.03125438384661,0.215755486822024,14.0494892088055,7.7591650716093e-45,1.83611276910065e-42
"Pcdh15",132.884773353478,-2.23833084026359,0.159939730458017,-13.9948393926494,1.67607887718665e-44,3.89901399820116e-42
"Prph2",924.969620281645,-2.48102846159604,0.177643611302269,-13.9663252925795,2.50207398905217e-44,5.72349424995683e-42
"Lactbl1",90.4379511230809,2.52061537066512,0.180564105654025,13.959670231994,2.74701929849689e-44,6.18079342161801e-42
"Kdr",125.935733707621,3.27655854977779,0.235099299934541,13.9369132561862,3.7793518937706e-44,8.36638786161314e-42
"Gm37583",77.8097769969406,2.45632100012247,0.176477681717932,13.9185928566789,4.88425468453331e-44,1.06406977055904e-41
"Abr",118.880645061326,2.55215584735994,0.183458230954021,13.9113728181516,5.40323071720597e-44,1.15873971240081e-41
"Epb41",565.49532254208,-1.74639884495615,0.125574246582375,-13.9073009990989,5.71973884453997e-44,1.20774485602017e-41
