"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vsx2",282.784578049235,5.00162337425665,0.194830624175402,25.6716488766869,2.42388159756616e-145,3.32677749265956e-141
"Trpm1",264.687018470659,5.34507863844412,0.215703537750949,24.7797448951233,1.48240993032339e-135,1.01730381468442e-131
"Gpr179",166.765024611464,4.28841313971653,0.178186853825128,24.0669446014529,5.54907331194929e-128,2.5387010402168e-124
"Lrtm1",181.205324267486,4.80917791838787,0.20376318076169,23.6018003861671,3.69349865503317e-123,1.26733172600826e-119
"Neurod4",130.475091986301,4.74926875859745,0.217078078154736,21.8781592271704,4.19433868956252e-106,1.15134597028491e-102
"Rlbp1",188.89731026631,3.61910748125165,0.169733020129922,21.3223536497578,7.04259636506946e-101,1.61099391850964e-97
"Abca8a",99.7475556916893,4.3128163477972,0.206801031163194,20.8549073645277,1.37564337483861e-96,2.69724361709428e-93
"Prox1",243.37245941984,3.83815844100467,0.193544265450404,19.83090758113,1.61106497083699e-87,2.76398334059221e-84
"Prkca",204.121699631013,2.16351658721375,0.110558856880352,19.5689124169865,2.84692147789735e-85,4.34155525379346e-82
"Lactbl1",90.4379511230809,4.79692056959154,0.247203665667733,19.4047307374442,7.03863137407137e-84,9.66052156091296e-81
"Msi1",481.025470581806,1.94505202568026,0.100404416057708,19.3721760660639,1.32535936169567e-83,1.6536870217521e-80
"Otx2",133.732135028422,3.60353358140672,0.188888399667191,19.0775801359741,3.87802673085369e-81,4.43549307341391e-78
"Ttyh1",161.446942944068,2.25865225141525,0.119917690868768,18.8350212137341,3.89970822548086e-79,4.11719195344037e-76
"Gm37583",77.8097769969406,5.02395100298268,0.269417743916479,18.6474392144718,1.32472106342657e-77,1.29869975682354e-74
"Cabp5",78.5645317987065,4.96062355910116,0.266210781205817,18.6341948159715,1.69688599124824e-77,1.55265068199214e-74
"Nefh",325.572568930124,-3.64217447701679,0.19747148508988,-18.4440526963123,5.82102005670407e-76,4.99334376739146e-73
"Eno2",460.12623344235,-1.51682845844181,0.0838732515067326,-18.08476994981,4.20117267924789e-73,3.39182911898101e-70
"Ctbp2",240.668677719889,2.20976862570778,0.124499907151575,17.749158824813,1.74954904836777e-70,1.33403114938042e-67
"Fmn1",182.402473496791,2.35172885468409,0.132766159370845,17.71331539474,3.30989097769867e-70,2.39096071941654e-67
"Grm6",70.2462763436123,5.38395152280816,0.305232219972764,17.6388702453777,1.23913632673088e-69,8.50357304219064e-67
"Cplx2",236.476932026951,-2.83762841937788,0.166485541763707,-17.0442933921874,3.85373384453972e-65,2.51869033410989e-62
"Calb2",271.470257503963,-3.94797772301848,0.235948096029468,-16.7323991566578,7.6109759017495e-63,4.74821110234145e-60
"Grik1",101.947116349172,3.44255253620216,0.208376058964903,16.5208640248925,2.59651544276596e-61,1.54944236747664e-58
"Map1b",1825.85220671224,-1.47289095705106,0.0891745208352369,-16.5169483755617,2.77066651375385e-61,1.58447491255298e-58
"Cacna2d4",132.640605876383,3.29888394448102,0.19976796869304,16.5135780579019,2.92985283978524e-61,1.6084892090421e-58
"Tafa3",84.7476969456294,3.78937159094584,0.232685237502318,16.2853975250926,1.25312241773098e-59,6.61504045513757e-57
"Atp2b2",194.716404938679,-2.65966183657769,0.165331386587258,-16.0868537515953,3.15466490796375e-58,1.60362132821491e-55
"Kcnma1",217.848738770752,2.20261303713011,0.139464824321961,15.7933231396419,3.45868669247128e-56,1.69537410193458e-53
"Slc38a3",150.457155906993,2.91314638494098,0.185882719054077,15.6719591781606,2.35215655029159e-55,1.11321891906042e-52
"Unc13b",156.986337850958,2.55786569840519,0.163607123994146,15.634195113024,4.2582133741641e-55,1.94813261868008e-52
"Ndrg1",180.157289428468,2.60897040939174,0.167407701432906,15.5845303833728,9.27423931237166e-55,4.10609466330003e-52
"Dnm3",210.581239164986,-2.03328804865169,0.131569504134076,-15.454098288458,7.07953580616341e-54,3.03645715436227e-51
"Car2",89.6045036226154,2.58172928377885,0.167765780463779,15.3888908491458,1.94334932298276e-53,8.08256650240558e-51
"Celf3",106.372788377105,2.75225845440351,0.179065866679551,15.3700898191214,2.59808737318359e-53,1.04878674108661e-50
