Gene,RGC_1,RGC_2,RGC_3,RGC_4,BP_1,BP_2,BP_3,BP_4,ONL_1,ONL_2,ONL_3,ONL_4
0610005C13Rik,0,0,3,0,0,0,0,1,0,0,0,0
0610009B22Rik,6,4,7,0,0,1,5,3,15,9,8,7
0610009E02Rik,1,0,1,0,0,0,0,0,3,3,1,0
0610009L18Rik,3,1,0,1,0,0,0,0,0,0,0,1
0610010F05Rik,56,40,33,26,5,2,8,8,14,4,12,5
0610010K14Rik,0,1,0,0,0,0,0,0,0,0,0,0
0610012G03Rik,10,17,11,11,2,1,3,2,11,6,8,2
0610030E20Rik,8,4,8,4,8,5,4,4,28,25,9,12
0610038B21Rik,0,1,0,0,0,0,0,1,4,8,2,0
0610040B10Rik,2,1,0,0,1,0,1,1,1,4,1,2
0610040F04Rik,0,0,0,1,0,0,1,0,0,0,0,0
0610040J01Rik,0,2,2,1,0,0,0,0,1,0,0,0
0710001A04Rik,3,2,0,2,0,0,0,0,1,1,0,0
1100001I12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110002E22Rik,3,1,1,2,0,1,0,1,1,0,1,0
1110002J07Rik,0,0,0,0,0,0,1,0,0,0,0,0
1110002L01Rik,2,0,0,2,0,0,2,4,7,9,5,1
1110003F10Rik,1,0,1,0,0,0,0,0,1,0,1,1
1110004F10Rik,17,12,16,15,7,8,5,4,14,13,5,7
1110006O24Rik,2,0,0,0,0,0,0,1,0,0,0,1
1110008P14Rik,64,56,53,54,7,7,12,10,36,34,14,8
1110017D15Rik,0,0,0,2,0,0,1,0,0,0,0,0
1110018N20Rik,8,3,4,3,1,1,2,3,20,18,16,6
1110019D14Rik,1,1,0,0,0,0,1,0,0,0,0,0
1110020A21Rik,0,0,0,0,0,0,1,0,0,4,0,0
1110025M09Rik,1,0,1,1,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,8,8,13,10,3,2,2,1,8,7,2,5
1110032F04Rik,9,5,7,4,1,0,0,0,0,1,0,0
1110035H17Rik,0,0,0,1,0,0,1,0,1,1,1,0
1110038B12Rik,0,1,1,1,0,0,0,0,4,3,2,0
1110038F14Rik,1,1,5,4,1,1,0,0,8,5,2,2
1110046J04Rik,0,0,2,1,0,0,0,0,0,0,0,0
1110051M20Rik,51,53,44,39,13,12,11,11,78,59,51,34
1110059E24Rik,2,1,0,0,0,1,0,0,1,1,0,0
1110059G10Rik,5,6,5,4,1,1,0,0,3,4,1,4
1110065P20Rik,5,1,3,2,1,2,3,1,2,2,0,0
1190005I06Rik,0,0,0,0,0,0,0,2,0,3,1,3
1190007I07Rik,0,0,2,0,0,0,0,0,0,0,0,0
1300002E11Rik,5,7,1,1,6,7,3,5,22,14,16,7
1300014J16Rik,1,0,0,1,0,0,1,0,1,1,1,2
