Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
0610009B22Rik,0,2,0,0,0,2,1,1,2,1
0610010F05Rik,2,3,0,0,3,5,5,3,4,6
0610010K14Rik,0,1,0,0,0,0,1,0,1,0
0610012G03Rik,0,1,0,0,0,1,3,3,3,3
0610030E20Rik,0,3,1,1,0,1,3,3,3,0
0610040B10Rik,0,1,0,0,0,0,0,0,0,0
0710001A04Rik,0,1,0,0,0,3,3,0,0,0
1110002E22Rik,0,2,0,1,0,3,1,2,5,1
1110002L01Rik,0,0,0,0,1,0,1,0,0,1
1110004F10Rik,1,0,0,1,1,0,6,1,6,4
1110006O24Rik,0,0,0,0,0,0,1,0,0,0
1110008P14Rik,1,2,4,1,0,12,6,4,11,8
1110017D15Rik,1,0,0,0,0,0,0,0,0,0
1110018N20Rik,0,1,2,0,0,1,1,1,2,0
1110019D14Rik,0,0,0,0,0,0,0,0,1,0
1110032A03Rik,0,3,1,1,0,2,5,1,3,0
1110032F04Rik,0,0,0,0,0,0,1,1,0,0
1110035H17Rik,0,0,0,0,0,0,0,1,0,0
1110038B12Rik,0,0,0,0,0,0,1,0,1,0
1110038F14Rik,0,0,0,0,0,0,0,2,0,1
1110046J04Rik,0,1,0,0,0,0,0,0,0,0
1110051M20Rik,2,5,1,4,5,9,11,14,19,11
1110059G10Rik,1,0,0,0,0,3,5,1,0,0
1300002E11Rik,1,3,1,1,0,3,7,2,4,2
1500002C15Rik,1,0,0,0,0,0,0,0,0,1
1500002F19Rik,0,0,0,0,0,0,0,0,0,1
1500004A13Rik,0,0,0,0,0,0,0,1,0,0
1500009C09Rik,3,3,0,2,3,6,4,11,6,4
1500009L16Rik,0,0,0,0,0,1,0,1,0,0
1500011B03Rik,4,8,4,3,7,9,5,10,12,13
1500015A07Rik,0,0,0,1,0,0,0,0,1,0
1600012H06Rik,1,0,0,1,0,2,3,1,1,3
1600014C10Rik,1,5,0,0,2,7,6,3,6,5
1600020E01Rik,0,0,0,0,0,1,2,2,1,0
1600029O15Rik,0,1,0,0,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,1,0,0,0,0,0
1700001G11Rik,0,0,0,1,0,0,0,0,0,1
1700001J11Rik,0,0,0,0,0,1,0,0,0,0
1700001K19Rik,0,1,0,0,0,0,0,0,0,0
1700001L05Rik,1,1,0,0,0,0,0,0,0,0
1700001L19Rik,1,0,0,0,0,2,0,0,0,1
1700001O22Rik,0,2,0,1,0,3,2,3,4,0
1700003D09Rik,1,0,0,0,0,0,0,0,0,0
1700003E16Rik,1,0,1,2,0,2,1,1,1,1
1700006F04Rik,0,0,0,0,0,0,1,0,0,0
1700006J14Rik,0,0,0,0,0,0,0,0,1,0
1700007H22Rik,0,0,0,0,0,0,0,0,0,1
1700007J10Rik,0,0,0,0,0,0,0,0,1,0
1700007K13Rik,0,0,0,0,0,1,0,0,2,0
1700008J07Rik,0,0,0,0,0,0,0,1,1,1
1700008O03Rik,0,0,0,0,0,0,1,0,0,0
1700010G06Rik,0,0,0,0,0,0,0,0,0,1
1700010I14Rik,0,0,0,0,0,0,0,1,0,0
1700012D14Rik,0,1,0,0,0,3,1,1,0,0
1700013M08Rik,1,0,0,0,0,0,0,0,0,0
1700016K19Rik,0,0,0,0,0,1,0,0,0,0
1700017B05Rik,3,1,2,1,2,3,7,2,6,10
1700018L02Rik,0,0,0,0,0,1,0,0,0,0
1700019A23Rik,0,0,0,0,0,0,0,1,0,0
1700019D03Rik,0,0,0,0,1,1,1,0,1,0
1700020G03Rik,0,0,0,0,0,0,1,0,0,0
1700023H06Rik,0,1,0,0,0,0,0,0,0,0
1700024B18Rik,0,1,0,0,0,0,0,0,0,0
1700025G04Rik,7,14,6,1,3,21,30,15,21,14
1700025L06Rik,0,0,0,0,0,0,1,0,0,0
1700025M24Rik,0,0,0,1,0,0,0,0,0,0
1700026N04Rik,0,0,0,0,0,0,0,0,0,1
1700028E10Rik,2,0,0,1,0,0,1,0,1,1
1700028J19Rik,0,0,0,0,0,0,0,1,0,0
1700028K03Rik,0,1,0,0,0,0,1,0,0,0
1700029B24Rik,0,0,0,0,0,0,2,0,3,0
1700029H14Rik,0,0,0,0,0,0,0,0,1,0
1700029I15Rik,0,0,0,0,1,0,0,0,0,0
1700030C10Rik,0,0,0,0,0,0,1,0,0,0
1700030J22Rik,2,1,0,1,1,3,3,4,3,0
1700030K09Rik,1,0,0,0,1,1,1,1,4,1
1700030N03Rik,0,1,0,0,0,0,0,0,0,0
1700034H15Rik,0,0,0,0,0,0,3,1,0,0
1700036A12Rik,1,0,0,0,0,0,0,0,0,0
1700037C18Rik,0,1,0,0,0,0,1,1,1,1
1700037H04Rik,1,1,4,2,2,6,4,5,8,3
1700040D17Rik,0,0,0,0,0,0,0,0,0,1
1700047F07Rik,0,0,0,0,1,1,0,0,0,0
1700047K16Rik,0,0,0,0,0,0,0,0,0,1
1700047N06Rik,0,0,0,0,0,0,0,0,1,0
1700048O20Rik,1,1,1,2,0,4,0,1,5,4
1700051K13Rik,0,0,0,0,0,0,1,0,0,0
1700052K11Rik,0,0,0,0,0,0,1,3,1,0
1700055D18Rik,0,0,0,1,0,0,1,0,0,0
1700060J05Rik,0,0,0,0,0,0,1,1,1,0
1700065D16Rik,0,0,0,0,0,1,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,1,0,0,0
1700066M21Rik,0,1,0,0,0,1,2,0,3,0
1700071K01Rik,0,0,0,1,0,0,0,0,1,0
1700074H08Rik,0,0,0,0,0,0,1,0,0,0
1700080N15Rik,0,1,0,0,0,1,0,1,0,2
1700082M22Rik,0,0,0,0,0,0,1,0,0,0
1700086D15Rik,2,0,0,1,0,0,4,0,1,1
1700086L19Rik,1,1,0,0,0,0,0,0,0,0
1700087I21Rik,0,0,0,0,0,1,0,0,1,0
1700088E04Rik,0,1,0,1,0,0,0,0,0,0
1700092M07Rik,0,0,0,0,0,0,0,1,0,0
1700093K21Rik,0,0,0,0,0,0,0,0,1,0
1700094D03Rik,0,0,1,0,0,2,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,1,0,0,0
1700095J12Rik,0,0,0,1,0,0,1,0,0,0
1700096K18Rik,0,0,1,0,0,2,0,0,3,0
1700101I11Rik,1,0,0,0,0,0,0,0,0,0
1700102P08Rik,0,0,0,0,0,0,0,0,1,0
1700109H08Rik,1,0,0,0,0,1,2,1,0,0
1700109K24Rik,0,0,0,0,1,1,1,0,2,1
1700110C19Rik,0,0,0,0,0,1,0,0,0,0
1700110K17Rik,2,0,0,0,0,1,1,1,0,0
1700111E14Rik,1,0,0,0,0,0,0,0,0,0
1700112J16Rik,0,0,0,0,0,0,1,0,0,1
1700113A16Rik,0,0,0,0,0,0,0,1,0,0
1700113H08Rik,0,0,0,0,0,0,0,0,0,1
1700119H24Rik,0,0,0,0,0,0,0,1,0,0
1700121L16Rik,0,0,0,0,0,0,0,0,1,0
1700123L14Rik,0,0,0,0,0,0,1,0,0,0
1700123O20Rik,0,3,0,2,0,1,2,0,2,2
1700123O21Rik,0,1,0,0,0,0,0,0,0,0
1700124L16Rik,0,0,0,0,0,0,1,0,0,0
1700125H03Rik,0,0,0,0,0,0,0,2,0,0
1700128E19Rik,0,0,1,0,0,0,0,0,0,0
1810009A15Rik,0,1,0,0,0,0,1,1,0,0
1810010H24Rik,0,2,0,0,0,1,1,0,0,3
1810010K12Rik,0,0,0,0,0,0,0,2,0,0
1810012K08Rik,0,0,0,0,0,1,0,0,0,0
1810012K16Rik,0,0,0,0,0,0,0,1,0,0
1810013L24Rik,3,10,3,4,3,20,20,19,20,16
1810014B01Rik,0,0,0,0,0,0,0,0,1,0
1810021B22Rik,0,0,0,0,0,1,0,0,0,0
1810024B03Rik,0,0,0,0,0,1,3,0,0,0
1810030O07Rik,0,0,0,0,0,2,3,0,0,2
1810037I17Rik,0,0,0,0,0,0,1,0,1,2
1810055G02Rik,1,3,1,0,0,1,3,2,3,4
1810058I24Rik,0,2,2,0,0,0,3,4,2,0
1810059H22Rik,2,0,0,0,0,1,0,0,0,1
1810062O18Rik,0,0,0,0,0,0,1,0,0,1
2010007H06Rik,0,0,0,0,0,2,0,1,0,0
2010013B24Rik,0,0,0,0,0,1,0,0,0,0
2010106C02Rik,0,1,0,0,0,0,0,0,0,0
2010204K13Rik,0,0,0,1,1,0,0,0,1,1
2010315B03Rik,0,2,0,0,0,1,0,2,0,0
2010320M18Rik,0,0,0,0,0,0,2,0,1,2
2210016F16Rik,0,0,0,0,1,0,2,3,3,1
2210016L21Rik,4,8,8,3,5,8,11,20,20,19
2210406H18Rik,0,0,0,0,0,0,2,0,0,0
2210406O10Rik,0,0,0,0,0,0,0,1,0,0
2210408F21Rik,1,0,0,0,0,0,0,0,1,0
