"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cartpt",107.545265144,-4.06108377044556,0.231707564887625,-17.5267638431017,8.95217320365602e-69,4.97919873587348e-65
"Th",21.0575170204549,-4.31959424527224,0.393379402116257,-10.9807331599829,4.7306872945048e-28,1.31560413660178e-24
"Slc18a2",14.5983354585461,-3.76855318725932,0.416107253615767,-9.05668707890202,1.34472695150368e-19,2.49312376808782e-16
"Gpx3",13.1874387005406,-3.67926285639752,0.428330624341095,-8.58977305687018,8.71412737684346e-18,1.21169941175008e-14
"Sstr2",8.85973051611258,-4.01819389816223,0.542551696976095,-7.40610327192336,1.30064562555173e-13,1.44683819386375e-10
"Vgf",18.635414225125,-2.05083279863564,0.280451173257397,-7.31261978623778,2.61983547647963e-13,2.42858748669661e-10
"Clstn2",12.8840611499854,-2.24152646291456,0.343884051368199,-6.51826234452074,7.11265160246486e-11,5.65150974470136e-08
"Ptprn",48.1245806693689,-1.33727334446987,0.208742255871884,-6.40633751362073,1.49056802036492e-10,1.03631741615871e-07
"Ahi1",31.8625573333515,-1.32646504424179,0.21320514015412,-6.2215434547353,4.92287768267697e-10,2.73810456710493e-07
"Peg3",61.3355386463582,-1.17111107063996,0.187887833164061,-6.23303303315743,4.57489652539913e-10,2.73810456710493e-07
"Scn5a",6.98483420023734,-3.07771703481884,0.504138671480687,-6.10490170448419,1.02863967195126e-09,5.20117623217536e-07
"Rasgrf1",46.5342126147881,-1.05276400897615,0.188594670916824,-5.58215141423829,2.37561415284468e-08,1.10109715984351e-05
"Gng4",9.06083079986155,-2.0986170386769,0.388886219320443,-5.39648085844778,6.79606583452024e-08,2.87687706038043e-05
"Necab2",8.30543572991085,-2.35845437283622,0.437961054946924,-5.38507784241693,7.24133024906976e-08,2.87687706038043e-05
"Baiap3",8.94828325092857,-2.3327549000063,0.435988084185787,-5.35050150364258,8.77108239375243e-08,3.15587597505435e-05
"Gaa",38.5354911537481,-1.08693199733852,0.203382821049463,-5.34426650063121,9.07839187358317e-08,3.15587597505435e-05
"Vwa5b1",6.75773902230824,-2.46715424688921,0.468588619322114,-5.26507504697474,1.40132101995132e-07,4.58479265468779e-05
"Rp1",57.2394445122433,-1.09347117847616,0.211446503888399,-5.17138452690278,2.32365846400984e-07,7.18010465379041e-05
"Gabre",4.07160278860848,-5.15466892672046,1.01871780927808,-5.05995760530911,4.19349706176521e-07,0.000122759108723885
"Arpp21",4.30330093257237,-3.11945893567775,0.628748064434485,-4.9613813737677,6.99936116423854e-07,0.000190738234807158
"Plxna4",18.1366696738966,-1.49816111037018,0.302301669073397,-4.95584796128411,7.20155147599841e-07,0.000190738234807158
"Gabrq",3.92100971657683,-3.76801037315081,0.773557541712319,-4.87101497945464,1.11026421278645e-06,0.000280694979614465
"Slc6a11",70.816874901995,0.860162568302386,0.177468964882386,4.84683374849479,1.25447466959766e-06,0.000303364700534878
"Stra6",3.55617920955134,-4.46887041164089,0.938022218575337,-4.76414132111731,1.89659552242435e-06,0.000439536012321843
"Vat1",6.8728601256882,-1.98877371832005,0.44308528684271,-4.4884670680253,7.1737511026297e-06,0.00159601614531306
"Crx",49.0723815450167,-0.913744716179021,0.207355017703807,-4.40666797600359,1.0497290808987e-05,0.00224561274921483
"Rp1l1",20.4595049344194,-1.21315873560384,0.277895159149841,-4.36552669472628,1.26816812657306e-05,0.00261242634074051
"Prph2",107.605323850358,-0.976820954841196,0.225056796938956,-4.34033083260376,1.42268358847811e-05,0.00282605932825544
"Resp18",3.42015568764757,-2.8961831081463,0.684094099037008,-4.23360340664131,2.29976362611063e-05,0.00441078803049219
"Mical2",4.75361967101384,-2.14391733923485,0.52329220217273,-4.09697933646483,4.18576249765399e-05,0.0077604036706505
"Celf6",3.58002045343306,-2.55044461105357,0.632387739252161,-4.03303930918969,5.50600649941352e-05,0.00987884133862515
"Hspb6",12.3676961856095,-1.30997976926612,0.32652889358923,-4.01183415919712,6.02488198098747e-05,0.0104719979932038
"Kcnb1",91.5454540411489,-0.715672900481663,0.18071256369257,-3.96028303654179,7.48609817693717e-05,0.0126174782000377
"Slc24a1",52.2406531809106,-0.88418945813754,0.230807354872419,-3.83085477768368,0.000127698861772907,0.0201671314267688
"Slc6a1",158.650551285825,0.681357871838621,0.177988589679704,3.82809860488667,0.000129137023093009,0.0201671314267688
