"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cartpt",107.545265144,4.06108404367736,0.231707564005626,17.5267650890273,8.95197708449018e-69,4.97908965439344e-65
"Th",21.0575170204549,4.3195945327064,0.393379374898913,10.9807346504031,4.7306092412961e-28,1.31558243000444e-24
"Slc18a2",14.5983354585461,3.76855352516981,0.416107225485311,9.05668850324455,1.34470939825816e-19,2.49309122437062e-16
"Gpx3",13.1874387005406,3.6792632235254,0.42833059613407,8.58977447964929,8.71401947243761e-18,1.21168440764245e-14
"Sstr2",8.85973051611258,4.01819417357002,0.542551601924688,7.4061050770389,1.30062793112109e-13,1.4468185105791e-10
"Vgf",18.635414225125,2.0508330971097,0.280451170831187,7.31262091376388,2.6198134854944e-13,2.42856710105331e-10
"Clstn2",12.8840611499854,2.24152683742775,0.343884046009198,6.51826353516789,7.11259515751787e-11,5.6514648951592e-08
"Ptprn",48.1245806693689,1.33727358337676,0.208742255263047,6.40633867681265,1.49055665417035e-10,1.03630951381193e-07
"Ahi1",31.8625573333515,1.32646526696761,0.213205139278855,6.22154452493145,4.92284409709996e-10,2.738085886807e-07
"Peg3",61.3355386463582,1.17111127680361,0.187887832739812,6.23303414450137,4.57486405672485e-10,2.738085886807e-07
"Scn5a",6.98483420023734,3.07771742805973,0.504138623992566,6.1049030595702,1.02863094494084e-09,5.20113210523722e-07
"Rasgrf1",46.5342126147881,1.05276420503033,0.188594670287944,5.5821524724054,2.3755996952841e-08,1.10109045876418e-05
"Gng4",9.06083079986155,2.09861745308957,0.388886210705993,5.39648204362837,6.79602096411198e-08,2.87685707634757e-05
"Necab2",8.30543572991085,2.35845483540857,0.437961039232277,5.38507909183616,7.24127994765658e-08,2.87685707634757e-05
"Baiap3",8.94828325092857,2.33275538584013,0.435988070330223,5.35050278800809,8.77102014007445e-08,3.15585706635507e-05
"Gaa",38.5354911537481,1.08693221373215,0.203382820233572,5.34426758604229,9.07833747962623e-08,3.15585706635507e-05
"Vwa5b1",6.75773902230824,2.46715469497816,0.468588595742812,5.26507626816482,1.40131170501368e-07,4.58476217840358e-05
"Rp1",57.2394445122433,1.09347143835326,0.211446503319723,5.17138576985524,2.32364300515937e-07,7.18005688594245e-05
"Gabre",4.07160278860848,5.15466740758247,1.01871693537915,5.05996045473022,4.19343439523727e-07,0.000122757274243735
"Arpp21",4.30330093257237,3.11945928333866,0.628747952632757,4.96138280892454,6.99930944021704e-07,0.000190737019474465
"Plxna4",18.1366696738966,1.49816147681792,0.302301667455055,4.95584920000699,7.20150558965077e-07,0.000190737019474465
"Gabrq",3.92100971657683,3.76801034496416,0.773557198255306,4.87101710573258,1.11025226323706e-06,0.000280691958551115
"Slc6a11",70.816874901995,-0.860162382129201,0.177468963950993,-4.84683272488553,1.25448113947959e-06,0.000303366265121108
"Stra6",3.55617920955134,4.46886958518836,0.938021334980714,4.76414492776995,1.89656160362391e-06,0.000439528151639842
"Vat1",6.8728601256882,1.98877418570593,0.443085274213484,4.48846825080382,7.17371128082627e-06,0.00159600728575823
"Crx",49.0723815450167,0.913744958449205,0.207355017023766,4.40666915883919,1.04972335107485e-05,0.00224560049179936
