436D,gene_id,gene_name,gene_type,gene_length,gene_count,RPK,TPM,log2(TPM+1)
0,ENSMUSG00000102693.1,4933401J01Rik,TEC,1070,0,0.0,0.0,0.0
1,ENSMUSG00000064842.1,Gm26206,snRNA,110,0,0.0,0.0,0.0
2,ENSMUSG00000051951.5,Xkr4,protein_coding,6094,0,0.0,0.0,0.0
3,ENSMUSG00000102851.1,Gm18956,processed_pseudogene,480,0,0.0,0.0,0.0
4,ENSMUSG00000103377.1,Gm37180,TEC,2819,0,0.0,0.0,0.0
5,ENSMUSG00000104017.1,Gm37363,TEC,2233,0,0.0,0.0,0.0
6,ENSMUSG00000103025.1,Gm37686,TEC,2309,0,0.0,0.0,0.0
7,ENSMUSG00000089699.1,Gm1992,antisense,250,0,0.0,0.0,0.0
8,ENSMUSG00000103201.1,Gm37329,TEC,2057,0,0.0,0.0,0.0
9,ENSMUSG00000103147.1,Gm7341,processed_pseudogene,926,0,0.0,0.0,0.0
10,ENSMUSG00000103161.1,Gm38148,TEC,3012,0,0.0,0.0,0.0
11,ENSMUSG00000102331.1,Gm19938,sense_intronic,3259,0,0.0,0.0,0.0
12,ENSMUSG00000102348.1,Gm10568,TEC,1634,0,0.0,0.0,0.0
13,ENSMUSG00000102592.1,Gm38385,TEC,2351,0,0.0,0.0,0.0
14,ENSMUSG00000088333.2,Gm27396,snRNA,58,0,0.0,0.0,0.0
15,ENSMUSG00000102343.1,Gm37381,lincRNA,1364,0,0.0,0.0,0.0
16,ENSMUSG00000025900.13,Rp1,protein_coding,12311,0,0.0,0.0,0.0
17,ENSMUSG00000102948.1,Gm6101,processed_pseudogene,1867,0,0.0,0.0,0.0
18,ENSMUSG00000104123.1,Gm37483,TEC,1484,0,0.0,0.0,0.0
19,ENSMUSG00000025902.13,Sox17,protein_coding,4772,0,0.0,0.0,0.0
20,ENSMUSG00000104238.1,Gm37587,processed_transcript,2917,0,0.0,0.0,0.0
21,ENSMUSG00000102269.1,Gm7357,processed_pseudogene,2991,0,0.0,0.0,0.0
22,ENSMUSG00000096126.1,Gm22307,snRNA,107,0,0.0,0.0,0.0
23,ENSMUSG00000103003.1,Gm38076,processed_pseudogene,450,0,0.0,0.0,0.0
24,ENSMUSG00000104328.1,Gm37323,lincRNA,2773,0,0.0,0.0,0.0
25,ENSMUSG00000102735.1,Gm7369,processed_pseudogene,936,0,0.0,0.0,0.0
26,ENSMUSG00000098104.1,Gm6085,processed_pseudogene,1470,0,0.0,0.0,0.0
27,ENSMUSG00000102175.1,Gm6119,processed_pseudogene,1206,0,0.0,0.0,0.0
28,ENSMUSG00000088000.1,Gm25493,snRNA,103,0,0.0,0.0,0.0
29,ENSMUSG00000103265.1,Gm2053,processed_pseudogene,631,0,0.0,0.0,0.0
30,ENSMUSG00000103922.1,Gm6123,processed_pseudogene,1069,0,0.0,0.0,0.0
31,ENSMUSG00000033845.13,Mrpl15,protein_coding,8487,5,0.5891363261458702,12.176635918170527,3.7199101827094156
32,ENSMUSG00000102275.1,Gm37144,TEC,1150,0,0.0,0.0,0.0
33,ENSMUSG00000025903.14,Lypla1,protein_coding,7145,4,0.5598320503848846,11.570956925123948,3.652022569513277
34,ENSMUSG00000104217.1,Gm37988,protein_coding,825,0,0.0,0.0,0.0
35,ENSMUSG00000033813.15,Tcea1,protein_coding,3017,1,0.3314550878355983,6.8507198566465535,2.972824945214393
36,ENSMUSG00000062588.4,Gm6104,processed_pseudogene,603,0,0.0,0.0,0.0
37,ENSMUSG00000103280.1,Gm37277,TEC,1111,0,0.0,0.0,0.0
38,ENSMUSG00000002459.17,Rgs20,protein_coding,4239,2,0.4718093890068413,9.7516498266113,3.4264861513571745
39,ENSMUSG00000091305.1,Gm17100,processed_pseudogene,272,0,0.0,0.0,0.0
40,ENSMUSG00000102653.1,Gm37079,TEC,2135,0,0.0,0.0,0.0
41,ENSMUSG00000085623.1,Gm16041,antisense,3725,0,0.0,0.0,0.0
42,ENSMUSG00000091665.1,Gm17101,processed_pseudogene,1588,0,0.0,0.0,0.0
43,ENSMUSG00000033793.12,Atp6v1h,protein_coding,9746,3,0.3078185922429715,6.362186068387847,2.8801342121707885
44,ENSMUSG00000104352.1,Gm7182,processed_pseudogene,732,0,0.0,0.0,0.0
45,ENSMUSG00000104046.1,Gm37567,TEC,2279,0,0.0,0.0,0.0
46,ENSMUSG00000102907.1,Gm38264,TEC,2032,0,0.0,0.0,0.0
47,ENSMUSG00000025905.14,Oprk1,protein_coding,9151,0,0.0,0.0,0.0
48,ENSMUSG00000103936.1,Gm36965,processed_pseudogene,394,0,0.0,0.0,0.0
49,ENSMUSG00000093015.1,Gm22463,miRNA,101,0,0.0,0.0,0.0
50,ENSMUSG00000103519.1,Gm37429,TEC,1799,0,0.0,0.0,0.0
51,ENSMUSG00000033774.4,Npbwr1,protein_coding,3692,0,0.0,0.0,0.0
52,ENSMUSG00000103090.1,Gm19214,processed_pseudogene,1083,0,0.0,0.0,0.0
53,ENSMUSG00000025907.14,Rb1cc1,protein_coding,14690,7,0.4765146358066712,9.848900793227948,3.439476971613006
54,ENSMUSG00000090031.2,4732440D04Rik,antisense,5428,0,0.0,0.0,0.0
55,ENSMUSG00000087247.3,Alkal1,protein_coding,971,0,0.0,0.0,0.0
56,ENSMUSG00000103355.1,Gm2147,processed_pseudogene,639,0,0.0,0.0,0.0
57,ENSMUSG00000102706.1,Gm7417,processed_pseudogene,473,0,0.0,0.0,0.0
58,ENSMUSG00000103845.1,Gm19026,processed_pseudogene,4530,0,0.0,0.0,0.0
59,ENSMUSG00000033740.17,St18,protein_coding,6464,0,0.0,0.0,0.0
60,ENSMUSG00000103329.2,Gm42492,TEC,2915,0,0.0,0.0,0.0
61,ENSMUSG00000104385.1,Gm7449,processed_pseudogene,663,0,0.0,0.0,0.0
