436F,gene_id,gene_name,gene_type,gene_length,gene_count,RPK,TPM,log2(TPM+1)
0,ENSMUSG00000102693.2,4933401J01Rik,TEC,1070,0,0.0,0.0,0.0
1,ENSMUSG00000064842.3,Gm26206,snRNA,110,0,0.0,0.0,0.0
2,ENSMUSG00000051951.6,Xkr4,protein_coding,6094,0,0.0,0.0,0.0
3,ENSMUSG00000102851.2,Gm18956,processed_pseudogene,480,0,0.0,0.0,0.0
4,ENSMUSG00000103377.2,Gm37180,TEC,2819,0,0.0,0.0,0.0
5,ENSMUSG00000104017.2,Gm37363,TEC,2233,0,0.0,0.0,0.0
6,ENSMUSG00000103025.2,Gm37686,TEC,2309,0,0.0,0.0,0.0
7,ENSMUSG00000089699.2,Gm1992,lncRNA,250,0,0.0,0.0,0.0
8,ENSMUSG00000103201.2,Gm37329,TEC,2057,0,0.0,0.0,0.0
9,ENSMUSG00000103147.2,Gm7341,processed_pseudogene,926,0,0.0,0.0,0.0
10,ENSMUSG00000103161.2,Gm38148,TEC,3012,0,0.0,0.0,0.0
11,ENSMUSG00000102331.2,Gm19938,lncRNA,3259,0,0.0,0.0,0.0
12,ENSMUSG00000102348.2,Gm10568,TEC,1634,0,0.0,0.0,0.0
13,ENSMUSG00000102592.2,Gm38385,TEC,2351,0,0.0,0.0,0.0
14,ENSMUSG00000088333.4,Gm27396,snRNA,58,0,0.0,0.0,0.0
15,ENSMUSG00000102343.2,Gm37381,lncRNA,1364,0,0.0,0.0,0.0
16,ENSMUSG00000025900.14,Rp1,protein_coding,12311,0,0.0,0.0,0.0
17,ENSMUSG00000102948.2,Gm6101,processed_pseudogene,1867,0,0.0,0.0,0.0
18,ENSMUSG00000104123.2,Gm37483,TEC,1484,0,0.0,0.0,0.0
19,ENSMUSG00000025902.14,Sox17,protein_coding,4772,0,0.0,0.0,0.0
20,ENSMUSG00000104238.2,Gm37587,lncRNA,2917,0,0.0,0.0,0.0
21,ENSMUSG00000102269.2,Gm7357,processed_pseudogene,2991,0,0.0,0.0,0.0
22,ENSMUSG00000118917.1,U6,snRNA,107,0,0.0,0.0,0.0
23,ENSMUSG00000103003.2,Gm38076,processed_pseudogene,450,0,0.0,0.0,0.0
24,ENSMUSG00000104328.2,Gm37323,lncRNA,2773,0,0.0,0.0,0.0
25,ENSMUSG00000102735.2,Gm7369,processed_pseudogene,936,0,0.0,0.0,0.0
26,ENSMUSG00000098104.2,Gm6085,processed_pseudogene,1470,2,1.3605442176870748,23.95521163478622,4.641269233676152
27,ENSMUSG00000102175.2,Gm6119,processed_pseudogene,1206,0,0.0,0.0,0.0
28,ENSMUSG00002075947.1,U6,snRNA,103,0,0.0,0.0,0.0
29,ENSMUSG00000103265.2,Gm2053,processed_pseudogene,631,0,0.0,0.0,0.0
30,ENSMUSG00000103922.2,Gm6123,processed_pseudogene,1069,1,0.9354536950420954,16.470608560867984,4.126857958004933
31,ENSMUSG00000033845.14,Mrpl15,protein_coding,8487,21,2.4743725698126546,43.566477151281404,5.477887019552423
32,ENSMUSG00000102275.2,Gm37144,TEC,1150,0,0.0,0.0,0.0
33,ENSMUSG00000025903.15,Lypla1,protein_coding,7145,3,0.41987403778866345,7.39275600485705,3.0691446392275257
34,ENSMUSG00000104217.2,Gm37988,protein_coding,825,0,0.0,0.0,0.0
35,ENSMUSG00000033813.16,Tcea1,protein_coding,3017,0,0.0,0.0,0.0
36,ENSMUSG00000062588.5,Gm6104,processed_pseudogene,603,0,0.0,0.0,0.0
37,ENSMUSG00000103280.2,Gm37277,TEC,1111,0,0.0,0.0,0.0
38,ENSMUSG00000002459.18,Rgs20,protein_coding,4239,0,0.0,0.0,0.0
39,ENSMUSG00000091305.2,Gm17100,processed_pseudogene,272,0,0.0,0.0,0.0
40,ENSMUSG00000102653.2,Gm37079,TEC,2135,0,0.0,0.0,0.0
41,ENSMUSG00000085623.2,Gm16041,lncRNA,3725,0,0.0,0.0,0.0
42,ENSMUSG00000091665.2,Gm17101,processed_pseudogene,1588,0,0.0,0.0,0.0
43,ENSMUSG00000033793.13,Atp6v1h,protein_coding,9746,6,0.615637184485943,10.839573497784448,3.565545205945947
44,ENSMUSG00000104352.2,Gm7182,processed_pseudogene,732,0,0.0,0.0,0.0
45,ENSMUSG00000104046.2,Gm37567,TEC,2279,0,0.0,0.0,0.0
46,ENSMUSG00000102907.2,Gm38264,TEC,2032,0,0.0,0.0,0.0
47,ENSMUSG00000025905.15,Oprk1,protein_coding,9151,0,0.0,0.0,0.0
48,ENSMUSG00000103936.2,Gm36965,processed_pseudogene,394,0,0.0,0.0,0.0
49,ENSMUSG00002076544.1,ENSMUSG00002076544,miRNA,101,0,0.0,0.0,0.0
50,ENSMUSG00000103519.2,Gm37429,TEC,1799,0,0.0,0.0,0.0
51,ENSMUSG00000033774.5,Npbwr1,protein_coding,3692,0,0.0,0.0,0.0
52,ENSMUSG00000103090.2,Gm19214,processed_pseudogene,1083,0,0.0,0.0,0.0
53,ENSMUSG00000025907.15,Rb1cc1,protein_coding,14690,8,0.5445881552076243,9.588607516170386,3.404440971129359
54,ENSMUSG00000090031.3,4732440D04Rik,lncRNA,5428,0,0.0,0.0,0.0
55,ENSMUSG00000087247.4,Alkal1,protein_coding,971,0,0.0,0.0,0.0
56,ENSMUSG00000103355.2,Gm2147,processed_pseudogene,639,0,0.0,0.0,0.0
57,ENSMUSG00000102706.2,Gm7417,processed_pseudogene,473,0,0.0,0.0,0.0
58,ENSMUSG00000103845.2,Gm19026,processed_pseudogene,4530,0,0.0,0.0,0.0
59,ENSMUSG00000033740.18,St18,protein_coding,6464,0,0.0,0.0,0.0
60,ENSMUSG00000103329.3,Gm42492,TEC,2915,0,0.0,0.0,0.0
61,ENSMUSG00000104385.2,Gm7449,processed_pseudogene,663,0,0.0,0.0,0.0
62,ENSMUSG00000102135.2,Gm37108,processed_pseudogene,626,0,0.0,0.0,0.0
63,ENSMUSG00000103282.2,Gm37275,processed_pseudogene,30,0,0.0,0.0,0.0
64,ENSMUSG00000102534.2,Gm37225,processed_pseudogene,325,0,0.0,0.0,0.0
65,ENSMUSG00000102213.2,Gm37489,processed_pseudogene,159,0,0.0,0.0,0.0
66,ENSMUSG00000103629.2,Gm5694,processed_pseudogene,641,0,0.0,0.0,0.0
67,ENSMUSG00000051285.18,Pcmtd1,protein_coding,6654,1,0.15028554253080853,2.646089653076025,1.8663500359952547
68,ENSMUSG00000098201.2,Gm26983,processed_pseudogene,388,0,0.0,0.0,0.0
69,ENSMUSG00000103509.2,Gm38372,TEC,4028,0,0.0,0.0,0.0
70,ENSMUSG00000048538.8,Gm9826,processed_pseudogene,1299,0,0.0,0.0,0.0
71,ENSMUSG00000103709.2,Nras-ps2,processed_pseudogene,178,0,0.0,0.0,0.0
72,ENSMUSG00000077244.3,Gm23274,snoRNA,130,0,0.0,0.0,0.0
73,ENSMUSG00000102768.2,Gm19002,processed_pseudogene,1012,0,0.0,0.0,0.0
74,ENSMUSG00000097797.7,Gm26901,lncRNA,4339,0,0.0,0.0,0.0
75,ENSMUSG00000103498.2,Gm18984,processed_pseudogene,1124,0,0.0,0.0,0.0
76,ENSMUSG00000103067.2,Gm30414,lncRNA,2596,0,0.0,0.0,0.0
77,ENSMUSG00000102320.2,Gm37791,processed_pseudogene,286,0,0.0,0.0,0.0
78,ENSMUSG00000104226.2,Gm7470,processed_pseudogene,2095,0,0.0,0.0,0.0
79,ENSMUSG00000103903.2,Rps2-ps2,processed_pseudogene,881,1,1.1350737797956867,19.985335472835267,4.391309621305241
80,ENSMUSG00000103557.2,Gm38216,processed_pseudogene,1214,0,0.0,0.0,0.0
81,ENSMUSG00000025909.17,Sntg1,protein_coding,10908,0,0.0,0.0,0.0
82,ENSMUSG00000102647.2,Gm38024,TEC,2532,0,0.0,0.0,0.0
83,ENSMUSG00000086235.2,Gm16284,processed_pseudogene,400,0,0.0,0.0,0.0
84,ENSMUSG00000102253.2,Gm38259,TEC,3534,0,0.0,0.0,0.0
85,ENSMUSG00002074990.1,ENSMUSG00002074990,miRNA,110,0,0.0,0.0,0.0
86,ENSMUSG00000103884.2,Gm37005,TEC,1164,0,0.0,0.0,0.0
