gene_id,gene_name,gene_type,gene_length,gene_count
ENSG00000223972.5,DDX11L1,transcribed_unprocessed_pseudogene,1735,0
ENSG00000227232.5,WASH7P,unprocessed_pseudogene,1351,0
ENSG00000278267.1,MIR6859-1,miRNA,68,0
ENSG00000243485.5,MIR1302-2HG,lncRNA,1021,0
ENSG00000284332.1,MIR1302-2,miRNA,138,0
ENSG00000237613.2,FAM138A,lncRNA,1219,0
ENSG00000268020.3,OR4G4P,unprocessed_pseudogene,840,0
ENSG00000240361.2,OR4G11P,transcribed_unprocessed_pseudogene,1414,0
ENSG00000186092.7,OR4F5,protein_coding,2618,0
ENSG00000238009.6,RP11-34P13.7,lncRNA,3726,0
ENSG00000239945.1,RP11-34P13.8,lncRNA,1319,0
ENSG00000233750.3,CICP27,processed_pseudogene,3812,0
ENSG00000268903.1,RP11-34P13.15,processed_pseudogene,755,0
ENSG00000269981.1,RP11-34P13.16,processed_pseudogene,284,1
ENSG00000239906.1,RP11-34P13.14,lncRNA,323,0
ENSG00000241860.7,RP11-34P13.13,lncRNA,7559,0
ENSG00000222623.1,RNU6-1100P,snRNA,104,0
ENSG00000241599.1,RP11-34P13.9,lncRNA,457,0
ENSG00000279928.2,DDX11L17,unprocessed_pseudogene,570,0
ENSG00000279457.4,WASH9P,unprocessed_pseudogene,1397,0
ENSG00000273874.1,MIR6859-2,miRNA,68,0
ENSG00000228463.10,AP006222.1,transcribed_processed_pseudogene,8224,0
ENSG00000286448.1,AP006222.3,lncRNA,736,0
ENSG00000236679.2,RPL23AP24,processed_pseudogene,385,0
ENSG00000236601.2,RP4-669L17.2,lncRNA,1095,0
ENSG00000237094.12,RP4-669L17.4,transcribed_unprocessed_pseudogene,6204,0
ENSG00000269732.1,WBP1LP7,processed_pseudogene,363,0
ENSG00000284733.2,OR4F29,protein_coding,939,0
ENSG00000233653.3,CICP7,processed_pseudogene,2477,0
ENSG00000250575.1,RP4-669L17.8,unprocessed_pseudogene,1239,0
ENSG00000278757.1,U6,snRNA,104,0
ENSG00000230021.10,RP11-206L10.17,transcribed_processed_pseudogene,5495,0
ENSG00000235146.2,RP5-857K21.2,lncRNA,635,0
ENSG00000225972.1,MTND1P23,unprocessed_pseudogene,372,9
ENSG00000225630.1,MTND2P28,unprocessed_pseudogene,1044,65
ENSG00000237973.1,MTCO1P12,unprocessed_pseudogene,1543,119
ENSG00000278791.1,ENSG00000278791,miRNA,89,0
ENSG00000229344.1,MTCO2P12,unprocessed_pseudogene,682,16
ENSG00000240409.1,MTATP8P1,unprocessed_pseudogene,207,5
ENSG00000248527.1,MTATP6P1,unprocessed_pseudogene,681,46
ENSG00000198744.5,MTCO3P12,unprocessed_pseudogene,547,19
ENSG00000268663.1,WBP1LP6,processed_pseudogene,424,0
ENSG00000284662.1,OR4F16,protein_coding,995,0
ENSG00000229376.3,CICP3,processed_pseudogene,2455,0
ENSG00000228327.3,RP11-206L10.2,transcribed_unprocessed_pseudogene,6432,0
ENSG00000223181.1,RNU6-1199P,snRNA,104,0
ENSG00000229905.1,RP11-206L10.4,lncRNA,456,0
ENSG00000237491.10,LINC01409,lncRNA,8413,1
ENSG00000285268.1,RP11-206L10.18,transcribed_processed_pseudogene,114,0
ENSG00000230092.7,RP11-206L10.8,transcribed_unprocessed_pseudogene,872,0
ENSG00000177757.2,FAM87B,lncRNA,1947,0
ENSG00000228794.10,LINC01128,lncRNA,15682,0
ENSG00000225880.5,LINC00115,lncRNA,1317,0
ENSG00000288531.1,RP11-206L10.19,lncRNA,3292,0
ENSG00000230368.2,FAM41C,lncRNA,1971,0
ENSG00000234711.1,TUBB8P11,unprocessed_pseudogene,1058,0
ENSG00000283040.1,FAM166AP3,transcribed_unprocessed_pseudogene,837,0
