gene_id,gene_name,gene_type,gene_length,gene_count
ENSMUSG00000102693.2,4933401J01Rik,TEC,1070,0
ENSMUSG00000064842.3,Gm26206,snRNA,110,0
ENSMUSG00000051951.6,Xkr4,protein_coding,6094,0
ENSMUSG00000102851.2,Gm18956,processed_pseudogene,480,0
ENSMUSG00000103377.2,Gm37180,TEC,2819,0
ENSMUSG00000104017.2,Gm37363,TEC,2233,0
ENSMUSG00000103025.2,Gm37686,TEC,2309,0
ENSMUSG00000089699.2,Gm1992,lncRNA,250,0
ENSMUSG00000103201.2,Gm37329,TEC,2057,0
ENSMUSG00000103147.2,Gm7341,processed_pseudogene,926,0
ENSMUSG00000103161.2,Gm38148,TEC,3012,0
ENSMUSG00000102331.2,Gm19938,lncRNA,3259,0
ENSMUSG00000102348.2,Gm10568,TEC,1634,0
ENSMUSG00000102592.2,Gm38385,TEC,2351,0
ENSMUSG00000088333.4,Gm27396,snRNA,58,0
ENSMUSG00000102343.2,Gm37381,lncRNA,1364,0
ENSMUSG00000025900.14,Rp1,protein_coding,12311,0
ENSMUSG00000102948.2,Gm6101,processed_pseudogene,1867,0
ENSMUSG00000104123.2,Gm37483,TEC,1484,0
ENSMUSG00000025902.14,Sox17,protein_coding,4772,0
ENSMUSG00000104238.2,Gm37587,lncRNA,2917,0
ENSMUSG00000102269.2,Gm7357,processed_pseudogene,2991,0
ENSMUSG00000118917.1,U6,snRNA,107,0
ENSMUSG00000103003.2,Gm38076,processed_pseudogene,450,0
ENSMUSG00000104328.2,Gm37323,lncRNA,2773,0
ENSMUSG00000102735.2,Gm7369,processed_pseudogene,936,0
ENSMUSG00000098104.2,Gm6085,processed_pseudogene,1470,0
ENSMUSG00000102175.2,Gm6119,processed_pseudogene,1206,0
ENSMUSG00002075947.1,U6,snRNA,103,0
ENSMUSG00000103265.2,Gm2053,processed_pseudogene,631,0
ENSMUSG00000103922.2,Gm6123,processed_pseudogene,1069,0
ENSMUSG00000033845.14,Mrpl15,protein_coding,8487,0
ENSMUSG00000102275.2,Gm37144,TEC,1150,0
ENSMUSG00000025903.15,Lypla1,protein_coding,7145,0
ENSMUSG00000104217.2,Gm37988,protein_coding,825,0
ENSMUSG00000033813.16,Tcea1,protein_coding,3017,0
ENSMUSG00000062588.5,Gm6104,processed_pseudogene,603,0
ENSMUSG00000103280.2,Gm37277,TEC,1111,0
ENSMUSG00000002459.18,Rgs20,protein_coding,4239,0
ENSMUSG00000091305.2,Gm17100,processed_pseudogene,272,0
ENSMUSG00000102653.2,Gm37079,TEC,2135,0
ENSMUSG00000085623.2,Gm16041,lncRNA,3725,0
ENSMUSG00000091665.2,Gm17101,processed_pseudogene,1588,0
ENSMUSG00000033793.13,Atp6v1h,protein_coding,9746,0
ENSMUSG00000104352.2,Gm7182,processed_pseudogene,732,0
ENSMUSG00000104046.2,Gm37567,TEC,2279,0
ENSMUSG00000102907.2,Gm38264,TEC,2032,0
ENSMUSG00000025905.15,Oprk1,protein_coding,9151,0
ENSMUSG00000103936.2,Gm36965,processed_pseudogene,394,0
ENSMUSG00002076544.1,ENSMUSG00002076544,miRNA,101,0
ENSMUSG00000103519.2,Gm37429,TEC,1799,0
ENSMUSG00000033774.5,Npbwr1,protein_coding,3692,0
ENSMUSG00000103090.2,Gm19214,processed_pseudogene,1083,0
ENSMUSG00000025907.15,Rb1cc1,protein_coding,14690,1
ENSMUSG00000090031.3,4732440D04Rik,lncRNA,5428,0
ENSMUSG00000087247.4,Alkal1,protein_coding,971,0
ENSMUSG00000103355.2,Gm2147,processed_pseudogene,639,0
ENSMUSG00000102706.2,Gm7417,processed_pseudogene,473,0
ENSMUSG00000103845.2,Gm19026,processed_pseudogene,4530,0
ENSMUSG00000033740.18,St18,protein_coding,6464,0
ENSMUSG00000103329.3,Gm42492,TEC,2915,0
ENSMUSG00000104385.2,Gm7449,processed_pseudogene,663,0
ENSMUSG00000102135.2,Gm37108,processed_pseudogene,626,0
ENSMUSG00000103282.2,Gm37275,processed_pseudogene,30,0
ENSMUSG00000102534.2,Gm37225,processed_pseudogene,325,0
ENSMUSG00000102213.2,Gm37489,processed_pseudogene,159,0
ENSMUSG00000103629.2,Gm5694,processed_pseudogene,641,0
ENSMUSG00000051285.18,Pcmtd1,protein_coding,6654,0
ENSMUSG00000098201.2,Gm26983,processed_pseudogene,388,0
ENSMUSG00000103509.2,Gm38372,TEC,4028,0
ENSMUSG00000048538.8,Gm9826,processed_pseudogene,1299,0
ENSMUSG00000103709.2,Nras-ps2,processed_pseudogene,178,0
ENSMUSG00000077244.3,Gm23274,snoRNA,130,0
ENSMUSG00000102768.2,Gm19002,processed_pseudogene,1012,0
ENSMUSG00000097797.7,Gm26901,lncRNA,4339,0
ENSMUSG00000103498.2,Gm18984,processed_pseudogene,1124,0
ENSMUSG00000103067.2,Gm30414,lncRNA,2596,0
ENSMUSG00000102320.2,Gm37791,processed_pseudogene,286,0
ENSMUSG00000104226.2,Gm7470,processed_pseudogene,2095,0
ENSMUSG00000103903.2,Rps2-ps2,processed_pseudogene,881,0
ENSMUSG00000103557.2,Gm38216,processed_pseudogene,1214,0
ENSMUSG00000025909.17,Sntg1,protein_coding,10908,0
ENSMUSG00000102647.2,Gm38024,TEC,2532,0
ENSMUSG00000086235.2,Gm16284,processed_pseudogene,400,0
ENSMUSG00000102253.2,Gm38259,TEC,3534,0
ENSMUSG00002074990.1,ENSMUSG00002074990,miRNA,110,0
ENSMUSG00000103884.2,Gm37005,TEC,1164,0
ENSMUSG00000084353.2,Gm15452,processed_pseudogene,240,0
ENSMUSG00000103933.2,Gm36964,processed_pseudogene,198,0
ENSMUSG00002075967.1,ENSMUSG00002075967,miRNA,110,0
ENSMUSG00000086195.2,Gm6152,processed_pseudogene,340,0
ENSMUSG00000104504.2,Gm7445,processed_pseudogene,340,0
ENSMUSG00000066693.3,Gm7493,processed_pseudogene,626,0
ENSMUSG00000102316.2,Gm37629,TEC,1050,0
ENSMUSG00000103819.2,Gm38008,processed_pseudogene,518,0
ENSMUSG00000102871.2,Gm37143,TEC,3259,0
ENSMUSG00000101571.3,Gm6187,processed_pseudogene,960,0
ENSMUSG00000104428.2,Gm18299,processed_pseudogene,636,0
ENSMUSG00000102272.2,Gm7512,processed_pseudogene,1170,0
ENSMUSG00000065625.3,Gm24765,snRNA,103,0
ENSMUSG00000103411.2,Gm18300,processed_pseudogene,1406,0
ENSMUSG00000061024.9,Rrs1,protein_coding,2048,1
ENSMUSG00000025911.15,Adhfe1,protein_coding,3780,0
ENSMUSG00000079671.9,2610203C22Rik,lncRNA,4910,0
ENSMUSG00000081441.4,Gm6161,processed_pseudogene,1102,0
ENSMUSG00000067879.4,Vxn,protein_coding,3256,0
ENSMUSG00000099827.2,Gm29520,lncRNA,1067,0
ENSMUSG00000025912.17,Mybl1,protein_coding,5402,0
ENSMUSG00000045210.9,Vcpip1,protein_coding,9749,1
ENSMUSG00000097893.9,1700034P13Rik,lncRNA,3101,0
ENSMUSG00000025915.15,Sgk3,protein_coding,14311,0
ENSMUSG00000046334.5,Gm6195,processed_pseudogene,357,0
ENSMUSG00002075801.1,U6,snRNA,105,0
ENSMUSG00000046101.17,Mcmdc2,protein_coding,5916,0
ENSMUSG00000098234.8,Snhg6,lncRNA,1146,0
ENSMUSG00000093178.3,Snord87,snoRNA,87,0
ENSMUSG00000099032.3,Tcf24,protein_coding,4193,0
ENSMUSG00000104025.2,E330040D14Rik,TEC,1374,0
ENSMUSG00000025916.11,Ppp1r42,protein_coding,1523,0
ENSMUSG00000087199.2,Gm15818,lncRNA,656,0
ENSMUSG00000119658.1,U6,snRNA,104,0
ENSMUSG00000025917.10,Cops5,protein_coding,3766,0
ENSMUSG00000056763.17,Cspp1,protein_coding,17553,0
ENSMUSG00000102356.2,1700047N06Rik,TEC,920,0
ENSMUSG00000067851.12,Arfgef1,protein_coding,11318,1
ENSMUSG00002076532.1,7SK,misc_RNA,240,0
ENSMUSG00000102556.2,Gm37569,TEC,1722,0
ENSMUSG00000042501.13,Cpa6,protein_coding,6840,0
ENSMUSG00000103810.2,Gm38005,TEC,2745,0
ENSMUSG00000083422.2,Gm15604,processed_pseudogene,1456,1
ENSMUSG00000119312.1,U6,snRNA,107,0
ENSMUSG00000081417.2,Gm15603,processed_pseudogene,492,0
ENSMUSG00000103448.2,Gm37133,TEC,1922,0
ENSMUSG00000100212.2,Gm5522,processed_pseudogene,1242,0
ENSMUSG00000100648.2,Gm28659,processed_pseudogene,759,0
ENSMUSG00002076499.1,SNORA66,snoRNA,91,0
ENSMUSG00000048960.14,Prex2,protein_coding,16609,0
ENSMUSG00000077318.3,Gm24173,snoRNA,128,0
ENSMUSG00000101827.2,Gm28686,processed_pseudogene,609,0
ENSMUSG00000103494.2,Gm37410,TEC,3039,0
ENSMUSG00000057715.14,A830018L16Rik,protein_coding,9183,0
ENSMUSG00000103825.2,Gm38178,TEC,2471,0
ENSMUSG00000099845.2,Gm29273,processed_pseudogene,262,0
ENSMUSG00000103561.2,Gm38069,TEC,2144,0
ENSMUSG00000101610.2,Gm7560,processed_pseudogene,873,0
ENSMUSG00000118923.1,U6,snRNA,107,0
ENSMUSG00000098555.3,Mir6341,miRNA,121,0
ENSMUSG00000097628.2,Gm2383,processed_pseudogene,807,0
ENSMUSG00000098163.2,Gm6216,processed_pseudogene,687,0
ENSMUSG00000097171.2,Gm17644,lncRNA,3200,0
ENSMUSG00000101314.2,Gm29663,lncRNA,853,0
ENSMUSG00000016918.16,Sulf1,protein_coding,11294,0
ENSMUSG00000025938.17,Slco5a1,protein_coding,13137,0
ENSMUSG00000104518.2,Gm37162,TEC,551,0
ENSMUSG00000069620.7,Gm5250,processed_pseudogene,321,0
ENSMUSG00000099498.2,Gm29283,lncRNA,288,0
ENSMUSG00000042414.8,Prdm14,protein_coding,2564,0
ENSMUSG00000005886.15,Ncoa2,protein_coding,15642,0
ENSMUSG00000103506.2,Gm38376,TEC,2253,0
ENSMUSG00000103495.2,Gm37409,TEC,1626,0
ENSMUSG00002076346.1,ENSMUSG00002076346,miRNA,82,0
ENSMUSG00000102639.2,Gm38223,TEC,695,0
ENSMUSG00000104170.2,Gm37702,TEC,1872,0
ENSMUSG00000087782.3,Gm23169,snRNA,112,0
ENSMUSG00000103085.2,Gm38120,TEC,4642,0
ENSMUSG00000102664.2,Gm38380,TEC,2248,0
ENSMUSG00000101476.2,Gm29570,lncRNA,681,0
ENSMUSG00000101171.2,Gm7593,processed_pseudogene,644,0
ENSMUSG00000025935.11,Tram1,protein_coding,3162,2
ENSMUSG00000025937.7,Lactb2,protein_coding,4566,0
ENSMUSG00000102982.2,Gm38319,TEC,1266,0
ENSMUSG00000067813.4,Xkr9,protein_coding,1926,0
ENSMUSG00000077368.3,Gm26273,snoRNA,131,0
ENSMUSG00000097711.2,Gm5523,processed_pseudogene,997,1
ENSMUSG00000102166.2,Gm36947,TEC,2249,0
ENSMUSG00002075174.1,7SK,misc_RNA,308,0
ENSMUSG00000104209.2,Gm37400,TEC,3605,0
ENSMUSG00000025932.15,Eya1,protein_coding,7808,0
ENSMUSG00002075819.1,ENSMUSG00002075819,miRNA,100,0
ENSMUSG00000102588.2,Gm37444,TEC,439,0
ENSMUSG00000054493.3,Gm9947,lncRNA,3566,0
ENSMUSG00000025930.7,Msc,protein_coding,2546,0
ENSMUSG00000103492.2,Gm37412,TEC,4321,0
ENSMUSG00000081201.2,Smt3h2-ps4,processed_pseudogene,288,0
ENSMUSG00000082193.2,Rpl5-ps1,processed_pseudogene,894,1
ENSMUSG00000032769.6,Trpa1,protein_coding,4263,0
ENSMUSG00000088159.3,Gm26345,snoRNA,120,0
ENSMUSG00000073737.4,Gm10566,processed_pseudogene,996,0
ENSMUSG00000092083.5,Kcnb2,protein_coding,15165,0
ENSMUSG00000102937.2,Gm38116,TEC,1533,0
ENSMUSG00000104149.2,Gm37138,TEC,2089,0
ENSMUSG00000088829.3,Gm25227,snoRNA,112,0
ENSMUSG00000077377.3,Gm25168,snoRNA,132,0
ENSMUSG00000101652.2,Gm6060,processed_pseudogene,251,0
ENSMUSG00000100814.2,Gm28669,processed_pseudogene,100,0
ENSMUSG00000025925.15,Terf1,protein_coding,4608,0
ENSMUSG00000104379.2,Gm37509,TEC,3169,0
ENSMUSG00000032719.5,Sbspon,protein_coding,2748,0
ENSMUSG00002076565.1,7SK,misc_RNA,303,0
ENSMUSG00000100652.2,Gm7634,processed_pseudogene,553,0
ENSMUSG00000067795.14,4930444P10Rik,protein_coding,2063,0
